agency_id,fare_id,price,currency_type,payment_method
0,0,0,USD,0
1,1,0,USD,0
0,2,0,USD,0
0,3,0,USD,0
2,4,0,USD,0
2,5,0,USD,0
2,6,0,USD,0
1,7,0,USD,0
3,8,0,USD,0
1,9,0,USD,0
4,10,0,USD,0
5,11,0,USD,0
2,12,0,USD,0
3,13,0,USD,0
3,14,0,USD,0
2,15,0,USD,0
6,16,0,USD,0
3,17,0,USD,0
3,18,0,USD,0
7,19,0,USD,0
7,20,0,USD,0
7,21,0,USD,0
8,22,0,USD,0
9,23,0,USD,0
10,24,0,USD,0
11,25,0,USD,0
12,26,0,USD,0
13,27,0,USD,0
13,28,0,USD,0
9,29,0,USD,0
14,30,0,USD,0
15,31,0,USD,0
9,32,0,USD,0
16,33,0,USD,0
17,34,0,USD,0
17,35,0,USD,0
18,36,0,USD,0
19,37,0,USD,0
19,38,0,USD,0
5,39,0,USD,0
20,40,0,USD,0
20,41,0,USD,0
1,42,0,USD,0
21,43,0,USD,0
21,44,0,USD,0
22,45,0,USD,0
3,46,0,USD,0
23,47,0,USD,0
24,48,0,USD,0
7,49,0,USD,0
7,50,0,USD,0
9,51,0,USD,0
3,52,0,USD,0
3,53,0,USD,0
25,54,0,USD,0
16,55,0,USD,0
25,56,0,USD,0
12,57,0,USD,0
26,58,0,USD,0
27,59,0,USD,0
10,60,0,USD,0
10,61,0,USD,0
28,62,0,USD,0
22,63,0,USD,0
29,64,0,USD,0
25,65,0,USD,0
17,66,0,USD,0
16,67,0,USD,0
16,68,0,USD,0
30,69,0,USD,0
31,70,0,USD,0
31,71,0,USD,0
32,72,0,USD,0
32,73,0,USD,0
9,74,0,USD,0
33,75,0,USD,0
34,76,0,USD,0
1,77,0,USD,0
35,78,0,USD,0
15,79,0,USD,0
9,80,0,USD,0
9,81,0,USD,0
15,82,0,USD,0
9,83,0,USD,0
36,84,0,USD,0
36,85,0,USD,0
37,86,0,USD,0
36,87,0,USD,0
1,88,0,USD,0
1,89,0,USD,0
38,90,0,USD,0
5,91,0,USD,0
4,92,0,USD,0
5,93,0,USD,0
11,94,0,USD,0
35,95,0,USD,0
36,96,0,USD,0
36,97,0,USD,0
9,98,0,USD,0
9,99,0,USD,0
9,100,0,USD,0
9,101,0,USD,0
7,102,0,USD,0
7,103,0,USD,0
7,104,0,USD,0
7,105,0,USD,0
9,106,0,USD,0
39,107,0,USD,0
39,108,0,USD,0
39,109,0,USD,0
39,110,0,USD,0
39,111,0,USD,0
39,112,0,USD,0
9,113,0,USD,0
12,114,0,USD,0
12,115,0,USD,0
12,116,0,USD,0
7,117,0,USD,0
12,118,0,USD,0
40,119,0,USD,0
31,120,0,USD,0
31,121,0,USD,0
31,122,0,USD,0
12,123,0,USD,0
9,124,0,USD,0
9,125,0,USD,0
17,126,0,USD,0
17,127,0,USD,0
41,128,0,USD,0
41,129,0,USD,0
2,130,0,USD,0
7,131,0,USD,0
