fare_id,route_id
0,4205962
1,4207829
2,4223772
3,4237142
4,4247869
5,4269608
6,4269609
7,4420888
8,4430244
9,4431661
10,4436907
11,4655384
12,5149360
13,5457000
14,5457001
15,5470046
16,6714096
17,9085564
18,9101527
19,9118342
20,9118541
21,9124161
22,9133722
23,9136633
24,9196557
25,9219407
26,9219433
27,9219457
28,9219458
29,9312059
30,9321521
31,9342276
32,9342277
33,9377625
34,9377675
35,9377676
36,9377784
37,9377826
38,9377827
39,9379871
40,9380021
41,9380023
42,9380122
43,9380213
44,9380215
45,9380272
46,9383241
47,9386184
48,9392695
49,9397822
50,9397824
51,9400927
52,9417509
53,9417539
54,9420548
55,9421022
56,9427980
57,9429037
58,9430329
59,9430924
60,9431000
61,9431002
62,9435839
63,9436000
64,9436032
65,9436054
66,9458409
67,9458460
68,9458471
69,9582567
70,9582571
71,9582573
72,9582854
73,9582856
74,9582859
75,9582860
76,9715360
77,9718061
78,10176999
79,10380049
80,10387641
81,10392482
82,10395472
83,10395597
84,10396238
85,10396580
86,10397583
87,10397705
88,10407407
89,10407466
90,10411245
91,10413052
92,10413337
93,10413473
94,10414582
95,10443585
96,10620494
97,10623351
98,10623700
99,10623782
100,10626424
101,10626619
102,10686843
103,10687570
104,10688684
105,10688740
106,10688865
107,10691722
108,10691728
109,10691742
110,10692360
111,10692381
112,10692412
113,10692726
114,10692795
115,10693034
116,10693249
117,10694643
118,10694841
119,10694992
120,10695765
121,10696073
122,10696152
123,10707969
124,10708454
125,10708489
126,10708849
127,10709216
128,10709736
129,10712108
130,10712279
131,10712334
132,10716517
133,10718919
134,10718946
135,10718967
136,10719010
137,10719025
138,10719035
139,10719095
140,10719128
141,10721298
142,10721776
143,10721892
144,10722104
145,10722148
146,10723654
147,10724411
148,10724599
149,10742219
150,10742249
151,10742265
152,10742276
153,10742335
154,10742513
155,10742585
156,10742625
157,10744108
158,10768014
159,10786894
160,10786928
161,10788634
162,10789860
163,10795881
164,10799951
165,10813739
166,11015397
167,11015478
168,11096956
169,11096957
170,11103749
171,11103802
172,11105559
173,11105576
174,11106317
175,11106342
176,11106387
177,11107845
178,11107907
179,11108080
180,11109737
181,11110061
182,11110129
183,11111544
184,11111558
185,11111697
186,11115682
187,11116658
188,11116706
189,11116758
190,11116770
191,11116951
192,11118368
193,11118511
194,11118647
195,11121479
196,11123109
197,11123198
198,11123215
199,11123257
200,11124771
201,11124782
202,11126026
203,11127304
204,11127350
205,11127379
206,11127392
207,11127395
208,11127419
209,11127460
210,11127465
211,11129178
212,11129182
213,11129203
214,11130832
215,11131143
216,11131214
217,11131445
218,11132626
219,11132650
220,11133890
221,11134477
222,11137986
223,11138009
224,11138032
225,11138084
226,11138764
227,11138791
228,11140017
229,11140123
230,11140612
231,11140643
232,11140668
233,11140677
234,11142143
235,11142238
236,11148102
237,11148108
238,11151933
239,15749345
240,15749364
241,16144238
242,16147024
243,16283966
244,16294397
245,16294410
246,16306401
247,16306421
248,16306422
249,16603891
250,16603902
251,16774715
252,16774734
253,16774771
254,16774784
255,16774789
256,16774834
257,16774838
258,16774848
259,16774849
260,16774852
261,16774853
262,16774859
263,16774860
264,16799911
265,16799912
266,16804729
267,16804730
268,16806297
269,16806298
270,16806299
271,16806300
272,16806919
273,16806920
274,17193323
275,17290564
276,17290615
277,17291147
