trip_id,route_id,service_id,shape_id
0,4205962,Mo-Su,4205962
1,4207829,Mo-Su,4207829
2,4223772,Mo-Su,4223772
3,4237142,Mo-Su,4237142
4,4247869,Mo-Su,4247869
5,4269608,Mo-Su,4269608
6,4269609,Mo-Su,4269609
7,4420888,Mo-Su,4420888
8,4430244,Mo-Su,4430244
9,4431661,Mo-Su,4431661
10,4436907,Mo-Su,4436907
11,4655384,Mo-Su,4655384
12,5149360,Mo-Su,5149360
13,5457000,Mo-Su,5457000
14,5457001,Mo-Su,5457001
15,5470046,Mo-Su,5470046
16,6714096,Mo-Su,6714096
17,9085564,Mo-Su,9085564
18,9101527,Mo-Su,9101527
19,9118342,Mo-Su,9118342
20,9118541,Mo-Su,9118541
21,9124161,Mo-Su,9124161
22,9133722,Mo-Su,9133722
23,9136633,Mo-Su,9136633
24,9196557,Mo-Su,9196557
25,9219407,Mo-Su,9219407
26,9219433,Mo-Su,9219433
27,9219457,Mo-Su,9219457
28,9219458,Mo-Su,9219458
29,9312059,Mo-Su,9312059
30,9321521,Mo-Su,9321521
31,9342276,Mo-Su,9342276
32,9342277,Mo-Su,9342277
33,9377625,Mo-Su,9377625
34,9377675,Mo-Su,9377675
35,9377676,Mo-Su,9377676
36,9377784,Mo-Su,9377784
37,9377826,Mo-Su,9377826
38,9377827,Mo-Su,9377827
39,9379871,Mo-Su,9379871
40,9380021,Mo-Su,9380021
41,9380023,Mo-Su,9380023
42,9380122,Mo-Su,9380122
43,9380213,Mo-Su,9380213
44,9380215,Mo-Su,9380215
45,9380272,Mo-Su,9380272
46,9383241,Mo-Su,9383241
47,9386184,Mo-Su,9386184
48,9392695,Mo-Su,9392695
49,9397822,Mo-Su,9397822
50,9397824,Mo-Su,9397824
51,9400927,Mo-Su,9400927
52,9417509,Mo-Su,9417509
53,9417539,Mo-Su,9417539
54,9420548,Mo-Su,9420548
55,9421022,Mo-Su,9421022
56,9427980,Mo-Su,9427980
57,9429037,Mo-Su,9429037
58,9430329,Mo-Su,9430329
59,9430924,Mo-Su,9430924
60,9431000,Mo-Su,9431000
61,9431002,Mo-Su,9431002
62,9435839,Mo-Su,9435839
63,9436000,Mo-Su,9436000
64,9436032,Mo-Su,9436032
65,9436054,Mo-Su,9436054
66,9458409,Mo-Su,9458409
67,9458460,Mo-Su,9458460
68,9458471,Mo-Su,9458471
