route_id,agency_id,route_short_name,route_long_name,route_color,route_type
0,0,270,MiniBus 270,,3
1,0,260,MiniBus 260,,3
2,1,201,MiniBus 201,,3
3,2,205,MiniBus 205,,3
4,3,B,MicroBus B,,3
5,3,A,MicroBus A,,3
6,1,203,MicroBus 203,,3
7,3,C,MicroBus C,,3
8,4,211,MiniBus 211,,3
9,3,E,MicroBus E,,3
10,5,106,Trufi 106,,3
11,4,290,Trufi 290,,3
12,3,LL,MicroBus LL,,3
13,2,W,MicroBus W,,3
14,3,G,MicroBus G,,3
15,3,H,MicroBus H,,3
16,3,0,MicroBus 0,,3
17,6,Q,MicroBus Q,,3
18,7,Teleférico,Teleférico,ffff00,6
19,8,Verde,Tranvía Verde,00cc00,0
20,8,Roja,Tranvía Roja,ff0000,0
21,9,16,MiniBus 16,,3
22,10,R,MicroBus R,,3
23,9,1,MiniBus 1,,3
24,10,136,Trufi 136,,3
25,11,102,Trufi 102,,3
26,12,108,Trufi 108,,3
27,11,10,MiniBus 10,,3
28,13,1001,Trufi 1001,,3
29,13,101,Trufi 101,,3
30,2,104,Trufi 104,,3
31,14,107,Trufi 107,,3
32,15,109,Trufi 109,,3
33,11,121,Trufi 121,,3
34,16,M,MicroBus M,,3
35,11,11,MiniBus 11,,3
36,17,Z12,MiniBus Z12,,3
37,18,232,MiniBus 232,,3
38,19,240,MiniBus 240,,3
39,19,230,Trufi 230,,3
40,2,252,Trufi 252,,3
41,1,200,MicroBus 200,,3
42,20,118,Trufi 118,,3
43,21,116,Trufi 116,,3
44,3,Y,MicroBus Y,,3
45,22,Taquiña,Trufi Taquiña,,3
46,23,113,Trufi 113,,3
47,24,01,Trufi 01,,3
48,9,03,Trufi 03,,3
49,25,010,Trufi 010,,3
50,11,45,MiniBus 45,,3
51,3,3V,MicroBus 3V,,3
52,25,112,Trufi 112,,3
53,18,212,MiniBus 212,,3
54,26,114,Trufi 114,,3
55,3,122,Trufi 122,,3
56,25,134,Trufi 134,,3
57,14,135,Trufi 135,,3
58,27,311,Trufi 311,,3
59,28,119,Trufi 119,,3
60,13,123,Trufi 123,,3
61,29,012,Trufi 012,,3
62,21,115,Trufi 115,,3
63,3,160,MiniBus 160,,3
64,19,233,MiniBus 233,,3
65,18,220,MicroBus 220,,3
66,11,6,MiniBus 6,,3
67,14,125,Trufi 125,,3
68,30,131,Trufi 131,,3
69,31,19,MiniBus 19,,3
70,11,2,MiniBus 2,,3
71,26,20,MiniBus 20,,3
72,25,130,Trufi 130,,3
73,1,202,MiniBus 202,,3
74,3,I,MicroBus I,,3
75,10,P,Trufi P,,3
76,11,110,Trufi 110,,3
77,32,111,Trufi 111,,3
78,33,210,MiniBus 210,,3
79,4,209,MiniBus 209,,3
80,34,207,MiniBus 207,,3
81,2,206,MiniBus 206,,3
82,2,46,MiniBus 46,,3
83,35,51,MiniBus 51,,3
84,3,X10,MicroBus X10,,3
85,3,S,MicroBus S,,3
86,10,T,MicroBus T,,3
87,9,8,MiniBus 8,,3
88,11,9,MiniBus 9,,3
89,9,14,MiniBus 14,,3
90,9,15,MiniBus 15,,3
91,14,103,Trufi 103,,3
92,9,5,MiniBus 5,,3
93,30,132,Trufi 132,,3
94,3,K,MicroBus K,,3
95,14,31,MiniBus 31,,3
96,11,35,MiniBus 35,,3
97,19,N,MicroBus N,,3
98,29,O,MicroBus O,,3
99,3,U,MicroBus U,,3
100,9,13,MiniBus 13,,3
101,9,36,MiniBus 36,,3
102,31,40,MiniBus 40,,3
103,26,52,MiniBus 52,,3
104,17,120,Trufi 120,,3
105,36,133,MiniBus 133,,3
106,12,138,Trufi 138,,3
107,37,150,Trufi 150,,3
108,34,217,MiniBus 217,,3
109,19,241,MiniBus 241,,3
110,2,204,MiniBus 204,,3
111,4,208,MiniBus 208,,3
112,38,265,MiniBus 265,,3
113,9,27,MiniBus 27,,3
114,39,261,MiniBus 261,,3
115,18,244,MiniBus 244,,3
116,19,242,MiniBus 242,,3
117,26,18,MiniBus 18,,3
118,9,43,MiniBus 43,,3
119,11,3,MiniBus 3,,3
120,0,245,MiniBus 245,,3
121,3,F,MicroBus F,,3
122,3,L,MicroBus L,,3
123,12,148,Trufi 148,,3
124,9,39,MicroBus 39,,3
125,23,50,MiniBus 50,,3
126,40,137,Trufi 137,,3
127,41,206,MiniBus 206,,3
128,17,250,MiniBus 250,,3
129,8,A,Tranvía Amarilla,FFC300,0
130,42,Punata,Trufi Punata,,3
131,17,16,Trufi 16,,3
132,17,127,Trufi 127,,3
133,42,25,Trufi 25,,3
134,42,80,MicroBus 80,,3
135,42,150,Trufi 150,,3
136,8,Amarilla,Tranvía Amarilla,FFC300,0
137,42,Santivañez,Trufi Santivañez,,3
138,1,Q,MicroBus Q,,3
139,2,M,Trufi M,,3
140,0,Calama,Trufi Calama,,3
141,19,244,MiniBus 244,,3
