trip_id,route_id,service_id,shape_id,trip_headsign
4205962,0,Mo-Su,4205962,Calle Litoral
4207829,1,Mo-Su,4207829,Calle Litoral
4220716,2,Mo-Su,4220716,Plaza Avenida Blanco Galindo
4223772,3,Mo-Su,4223772,Avenida Blanco Galindo
4237142,0,Mo-Su,4237142,Avenida Blanco Galindo
4247869,4,Mo-Su,4247869,Pasaje F
4269608,5,Mo-Su,4269608,Río Taquiña
4269609,5,Mo-Su,4269609,Villa Israel
4420888,6,Mo-Su,4420888,Plaza Hernando Siles
4430244,7,Mo-Su,4430244,Calle Manuel Carrasco Jimenez
4431661,6,Mo-Su,4431661,Avenida Belzu
4433300,7,Mo-Su,4433300,Avenida Pedro de la Gasca
4436907,8,Mo-Su,4436907,Parque Ecoturístico Pairumani
4443363,9,Mo-Su,4443363,Avenida Chacancalle
4655384,10,Mo-Su,4655384,Chillimarca
4770039,1,Mo-Su,4770039,Avenida Blanco Galindo
5149360,11,Mo-Su,5149360,Charles Darwin
5386695,12,Mo-Su,5386695,Huachi Rancho
5387552,13,Mo-Su,5387552,Avenida Arquímedes
5387555,13,Mo-Su,5387555,Calle Alipio Valencia Vega
5457000,14,Mo-Su,5457000,Avenida Río Parapeti
5457001,14,Mo-Su,5457001,Avenida Chapare
5457263,15,Mo-Su,5457263,Avenida Circuito Bolivia
5470046,11,Mo-Su,5470046,La Concordia
6714096,16,Mo-Su,6714096,Plaza Principal El Paso
6925236,17,Mo-Su,6925236,Cristo de la Concordia
6925237,17,Mo-Su,6925237,Parque de la Autonomía
9085564,18,Mo-Su,9085564,Avenida Chiquicollo
9118342,19,Mo-Su,9118342,OTB Ecológica
9118541,19,Mo-Su,9118541,Avenida Silala
9119233,20,Mo-Su,9119233,Avenida Arquímedes
9124161,21,Mo-Su,9124161,Calle Ciudad del niño
9133720,22,Mo-Su,9133720,Avenida Segunda
9133722,22,Mo-Su,9133722,Villa San Andres
9136633,23,Mo-Su,9136633,Tamborada B
9193250,24,Mo-Su,9193250,OTB Ecológica
9196557,25,Mo-Su,9196557,La Tamborada
9219406,26,Mo-Su,9219406,1ro de Mayo
9219407,26,Mo-Su,9219407,Villa San Miguel
9219433,27,Mo-Su,9219433,Maica Quenamari
9219457,28,Mo-Su,9219457,Torrentera Pajcha
9219458,28,Mo-Su,9219458,Calle Abelia
9312059,29,Mo-Su,9312059,Calle Sora Sora
9321521,30,Mo-Su,9321521,Calle Pozo Petrolero Buena Vista
9342276,31,Mo-Su,9342276,Calle Viena
9342277,31,Mo-Su,9342277,Los Ceibos
9377625,32,Mo-Su,9377625,Avenida Eliodoro Villazón
9377626,32,Mo-Su,9377626,Calle Isla del Sol
9377675,33,Mo-Su,9377675,Avenida Eliodoro Villazón
9377676,33,Mo-Su,9377676,Calle Trojes
9377784,34,Mo-Su,9377784,Calle Grover Suarez
9377826,35,Mo-Su,9377826,Univalle
9377827,35,Mo-Su,9377827,Mercado de papas
9379871,10,Mo-Su,9379871,Avenida Blanco Galindo
9380021,36,Mo-Su,9380021,Avenida Blanco Galindo
9380023,36,Mo-Su,9380023,Calle Litoral
9380122,37,Mo-Su,9380122,Avenida Blanco Galindo
9380123,37,Mo-Su,9380123,Calle Litoral
9380213,38,Mo-Su,9380213,Chilimarca
9380215,38,Mo-Su,9380215,Calle Tupac Katari
9380270,39,Mo-Su,9380270,Torrentera Logustani
9380272,39,Mo-Su,9380272,Alto Buena Vista
9383241,40,Mo-Su,9383241,Achumani
9386184,41,Mo-Su,9386184,Planta Taquiña
9392695,42,Mo-Su,9392695,La Serena Calicanto
9392697,42,Mo-Su,9392697,Puente Khora
9397731,43,Mo-Su,9397731,Calle 6
9397822,44,Mo-Su,9397822,Calle Luis Zegarra
9397824,44,Mo-Su,9397824,Calle Curupau
9397897,45,Mo-Su,9397897,Los Ceibos
9400927,46,Mo-Su,9400927,Torrentera Arocagua Mayu
9405802,47,Mo-Su,9405802,Calle Honduras
9405804,47,Mo-Su,9405804,Putucu
9417509,48,Mo-Su,9417509,Calle Tómas Gamboa
9417539,48,Mo-Su,9417539,Río Taquiña
9420548,49,Mo-Su,9420548,Calle Francisco de Goya
9421022,50,Mo-Su,9421022,Hipódromo Sud
9426749,51,Mo-Su,9426749,Calle Ruminawi
9427015,52,Mo-Su,9427015,Calle Qhochapampa
9427980,53,Mo-Su,9427980,Avenida Chiquicollo
9429035,54,Mo-Su,9429035,Calle Los Olivos
9430327,55,Mo-Su,9430327,Calle Canichana
9430329,55,Mo-Su,9430329,Pampita Mejillones
9430922,56,Mo-Su,9430922,Villa Taquiña
9430924,56,Mo-Su,9430924,Loma Pampa
9431000,57,Mo-Su,9431000,Calle Wawaki
9431002,57,Mo-Su,9431002,Mineros San Juan
9435838,58,Mo-Su,9435838,Calle Grover Suarez
9435839,58,Mo-Su,9435839,Nueva Jerusalén
9436000,59,Mo-Su,9436000,Av. Inca Camacho
9436031,60,Mo-Su,9436031,Calle T. Achu
9436032,60,Mo-Su,9436032,Rocas Blancas
9436054,49,Mo-Su,9436054,Calle Volcán Tolima
9458409,61,Mo-Su,9458409,Calle Manuel P. Laredo
9458460,62,Mo-Su,9458460,Calle Eric Asplund
9458471,62,Mo-Su,9458471,Avenida Eliodoro Villazón
9582565,63,Mo-Su,9582565,Calle R. Levano
9582567,63,Mo-Su,9582567,Calle Canasita
9582571,64,Mo-Su,9582571,Calle Lucia Alcocer
9582573,64,Mo-Su,9582573,Calle La Rioja
9582854,65,Mo-Su,9582854,Calle 7
