trip_id,route_id,service_id,shape_id
0,6525438,Mo-Su,6525438
1,6525439,Mo-Su,6525439
2,6536901,Mo-Su,6536901
3,6537339,Mo-Su,6537339
4,6537685,Mo-Su,6537685
5,6537708,Mo-Su,6537708
6,6553806,Mo-Su,6553806
7,6553807,Mo-Su,6553807
8,6553862,Mo-Su,6553862
9,6553863,Mo-Su,6553863
10,6577793,Mo-Su,6577793
11,6577794,Mo-Su,6577794
12,6577914,Mo-Su,6577914
13,6577915,Mo-Su,6577915
14,6577923,Mo-Su,6577923
15,6577924,Mo-Su,6577924
16,6577928,Mo-Su,6577928
17,6577929,Mo-Su,6577929
18,6577937,Mo-Su,6577937
19,6577953,Mo-Su,6577953
20,6577983,Mo-Su,6577983
21,6578057,Mo-Su,6578057
22,6578061,Mo-Su,6578061
23,6578069,Mo-Su,6578069
24,6578111,Mo-Su,6578111
25,6578112,Mo-Su,6578112
26,6578116,Mo-Su,6578116
27,6578132,Mo-Su,6578132
28,6578133,Mo-Su,6578133
29,6580945,Mo-Su,6580945
30,6580948,Mo-Su,6580948
31,6581619,Mo-Su,6581619
32,6581632,Mo-Su,6581632
33,6583165,Mo-Su,6583165
34,6583179,Mo-Su,6583179
35,6583715,Mo-Su,6583715
36,6583741,Mo-Su,6583741
37,6585999,Mo-Su,6585999
38,6586139,Mo-Su,6586139
39,6593890,Mo-Su,6593890
40,6593895,Mo-Su,6593895
41,6593910,Mo-Su,6593910
42,6593970,Mo-Su,6593970
43,6594023,Mo-Su,6594023
44,6594040,Mo-Su,6594040
45,6594043,Mo-Su,6594043
46,6594044,Mo-Su,6594044
47,6594055,Mo-Su,6594055
48,6594070,Mo-Su,6594070
49,6594071,Mo-Su,6594071
50,6594078,Mo-Su,6594078
51,6594080,Mo-Su,6594080
