route_id,agency_id,route_short_name,route_long_name,route_type
7406209,0,31,Trotro 31 : 37 → Abeka Lapaz,3
7406251,0,282,Trotro 282 : Shalom → Kaneshie,3
7406252,0,282,Trotro 282 : Kaneshie → Shalom,3
7407644,0,31,Trotro 31 : Abeka Lapaz → 37,3
7407962,0,56,Trotro 56 : Race Course → Abeka Lapaz,3
7415754,0,11,Trotro 11 : Abeka Lapaz → Circle Accra,3
7415862,0,11,Trotro 11 : Circle Accra → Abeka Lapaz,3
7416050,0,15,Trotro 15 : Abeka Lapaz → Dome Kwabenya,3
7416141,0,15,Trotro 15 : Dome Kwabenya → Abeka Lapaz,3
7418029,0,6,Trotro 6 : Sakumono Estate → Abeka Lapaz,3
7418430,0,209,Trotro 209 : Circle → Swanlake Last Stop,3
7418496,0,209,Trotro 209 : Swanlake Last Stop → Circle,3
7418634,0,211,Trotro 211 : Circle → Tema (Motorway),3
7418705,0,211,Trotro 211 : Tema (Motorway) → Circle,3
7420174,0,76,Trotro 76 : Achimota → 37,3
7420410,0,76,Trotro 76 : 37 → Achimota,3
7420681,0,20,Trotro 20 : Abeka Lapaz → Accra UTC,3
7420795,0,20,Trotro 20 : Accra UTC → Abeka Lapaz,3
7420887,0,2,Trotro 2 : 37 Lorry Park → Osu (37 Station),3
7421011,0,2,Trotro 2 : Osu (37 Station) → 37 Lorry Park,3
7421169,0,46,Trotro 46 : Abeka Lapaz → Kaneshie,3
7421637,0,46,Trotro 46 : Kaneshie → Abeka Lapaz,3
7422764,0,281,Trotro 281 : Kaneshie → Russia,3
7422797,0,281,Trotro 281 : Russia → Kaneshie,3
7423269,0,275,Trotro 275 : Madina-Adenta → Kaneshie,3
7423503,0,276,Trotro 276 : Kaneshie → Mamponse,3
7423570,0,276,Trotro 276 : Mamponse → Kaneshie,3
7423593,0,277,Trotro 277 : Kaneshie → Mamprobi Alhaji,3
7423604,0,277,Trotro 277 : Mamprobi Alhaji → Kaneshie,3
7423715,0,278,Trotro 278 : Kaneshie → New town,3
7424841,0,278,Trotro 278 : New Town → Kaneshie,3
7425044,0,998,Trotro 998 : Circle Overhead → Ashaiaman,3
7425103,0,998,Trotro 998 : Ashaiaman → Circle Overhead,3
7425316,0,72,Trotro 72 : Accra New Town → Caprice,3
7425333,0,72,Trotro 72 : Caprice → Accra New Town,3
7425735,0,242,Trotro 242 : Dansoman → Odorkor,3
7426645,0,242,Trotro 242 : Odorkor → Dansoman,3
7426665,0,264,Trotro 264 : Hansonic → Dansoman Last Stop,3
7426676,0,264,Trotro 264 : Dansoman Last Stop → Hansonic,3
7431595,0,454,Trotro 454 : Osu → Circle,3
