trip_id,route_id,service_id,shape_id
0,7406209,Mo-Su,7406209
1,7406251,Mo-Su,7406251
2,7406252,Mo-Su,7406252
3,7407644,Mo-Su,7407644
4,7407962,Mo-Su,7407962
5,7415754,Mo-Su,7415754
6,7415862,Mo-Su,7415862
7,7416050,Mo-Su,7416050
8,7416141,Mo-Su,7416141
9,7418029,Mo-Su,7418029
10,7418430,Mo-Su,7418430
11,7418496,Mo-Su,7418496
12,7418634,Mo-Su,7418634
13,7418705,Mo-Su,7418705
14,7420174,Mo-Su,7420174
15,7420410,Mo-Su,7420410
16,7420681,Mo-Su,7420681
17,7420795,Mo-Su,7420795
18,7420887,Mo-Su,7420887
19,7421011,Mo-Su,7421011
20,7421169,Mo-Su,7421169
21,7421637,Mo-Su,7421637
22,7422764,Mo-Su,7422764
23,7422797,Mo-Su,7422797
24,7423269,Mo-Su,7423269
25,7423503,Mo-Su,7423503
26,7423570,Mo-Su,7423570
27,7423593,Mo-Su,7423593
28,7423604,Mo-Su,7423604
29,7423715,Mo-Su,7423715
30,7424841,Mo-Su,7424841
31,7425044,Mo-Su,7425044
32,7425103,Mo-Su,7425103
33,7425316,Mo-Su,7425316
34,7425333,Mo-Su,7425333
35,7425735,Mo-Su,7425735
36,7426645,Mo-Su,7426645
37,7426665,Mo-Su,7426665
38,7426676,Mo-Su,7426676
39,7431595,Mo-Su,7431595
40,7431798,Mo-Su,7431798
41,7431880,Mo-Su,7431880
42,7432100,Mo-Su,7432100
43,7432263,Mo-Su,7432263
44,7432422,Mo-Su,7432422
45,7435456,Mo-Su,7435456
46,7435650,Mo-Su,7435650
47,7435911,Mo-Su,7435911
48,7436014,Mo-Su,7436014
49,7437084,Mo-Su,7437084
50,7437093,Mo-Su,7437093
51,7437119,Mo-Su,7437119
52,7437138,Mo-Su,7437138
53,7437182,Mo-Su,7437182
54,7437218,Mo-Su,7437218
55,7439696,Mo-Su,7439696
56,7439745,Mo-Su,7439745
57,7440716,Mo-Su,7440716
58,7440783,Mo-Su,7440783
59,7441963,Mo-Su,7441963
60,7441989,Mo-Su,7441989
61,7442032,Mo-Su,7442032
62,7442237,Mo-Su,7442237
63,7442512,Mo-Su,7442512
64,7442727,Mo-Su,7442727
65,7443792,Mo-Su,7443792
66,7443807,Mo-Su,7443807
67,7444960,Mo-Su,7444960
68,7445107,Mo-Su,7445107
69,7445185,Mo-Su,7445185
70,7445272,Mo-Su,7445272
