agency_id,fare_id,price,currency_type,payment_method
0,0,0,MXN,0
0,1,0,MXN,0
0,2,0,MXN,0
0,3,0,MXN,0
0,4,0,MXN,0
0,5,0,MXN,0
0,6,0,MXN,0
1,7,0,MXN,0
1,8,0,MXN,0
0,9,0,MXN,0
0,10,0,MXN,0
0,11,0,MXN,0
0,12,0,MXN,0
0,13,0,MXN,0
0,14,0,MXN,0
0,15,0,MXN,0
0,16,0,MXN,0
0,17,0,MXN,0
0,18,0,MXN,0
2,19,0,MXN,0
3,20,0,MXN,0
0,21,0,MXN,0
0,22,0,MXN,0
4,23,0,MXN,0
4,24,0,MXN,0
1,25,0,MXN,0
1,26,0,MXN,0
1,27,0,MXN,0
1,28,0,MXN,0
1,29,0,MXN,0
1,30,0,MXN,0
5,31,0,MXN,0
5,32,0,MXN,0
2,33,0,MXN,0
6,34,0,MXN,0
7,35,0,MXN,0
7,36,0,MXN,0
5,37,0,MXN,0
5,38,0,MXN,0
5,39,0,MXN,0
5,40,0,MXN,0
3,41,0,MXN,0
3,42,0,MXN,0
8,43,0,MXN,0
8,44,0,MXN,0
9,45,0,MXN,0
9,46,0,MXN,0
10,47,0,MXN,0
10,48,0,MXN,0
10,49,0,MXN,0
10,50,0,MXN,0
1,51,0,MXN,0
1,52,0,MXN,0
11,53,0,MXN,0
11,54,0,MXN,0
8,55,0,MXN,0
8,56,0,MXN,0
8,57,0,MXN,0
8,58,0,MXN,0
12,59,0,MXN,0
13,60,0,MXN,0
11,61,0,MXN,0
11,62,0,MXN,0
11,63,0,MXN,0
6,64,0,MXN,0
6,65,0,MXN,0
6,66,0,MXN,0
6,67,0,MXN,0
11,68,0,MXN,0
11,69,0,MXN,0
