fare_id,route_id
0,19455302
1,19455324
2,19455371
3,19455382
4,19455390
5,19512377
6,19512573
7,19512577
8,19512581
9,19525478
10,19525486
11,19525563
12,19525565
13,19525567
14,19525570
15,19525601
16,19525606
17,19525611
18,19525623
19,19525638
20,19525651
21,19525659
22,19525663
23,19525667
24,19525674
25,19525693
26,19525699
27,19525710
28,19525711
29,19525716
30,19525720
31,19525723
32,19525724
33,19528431
34,19528433
35,19528454
36,19528471
37,19528476
38,19528479
39,19528483
40,19528489
41,19528491
42,19528506
43,19528579
44,19528584
45,19528589
46,19528594
47,19528661
48,19528662
49,19528663
50,19528664
51,19528665
52,19528666
53,19531727
54,19531728
55,19531729
56,19531730
57,19531731
58,19531732
59,19531734
60,19531735
61,19531736
62,19531739
63,19531740
64,19531741
65,19531742
66,19531743
67,19531744
68,19531747
69,19531748
70,19558882
71,19558889
72,19558890
73,19558896
74,19558897
75,19558898
