route_id,agency_id,route_short_name,route_long_name,route_color,route_type
19455302,0,1,1: Mercado → Las Huertas/Agua Escondida,1D3A72,3
19455324,0,1,1: Las Huertas/Agua Escondida → Mercado,1D3A72,3
19455371,0,2,2: Mercado → Xhixhata/Santa Martha de la Cruz,1D3A72,3
19455382,0,4,4: Mercado → La Comunidad,1D3A72,3
19455390,0,3,3: Mercado → Buenavista,1D3A72,3
19512377,0,2,2: Xhixhata/Santa Martha de la Cruz → Mercado,1D3A72,3
19512573,0,4,4: La Comunidad → Mercado,1D3A72,3
19512577,0,13,13: Mercado → El Huizache/El Banco,1D3A72,3
19512581,0,13,13: El Huizache/El Banco → Mercado,1D3A72,3
19525478,0,3A,3A: Buenavista → Mercado,1D3A72,3
19525486,0,3B,3B: Buenavista → Mercado,1D3A72,3
19525563,0,5,5: Mercado → La Huaracha (vía Llano Grande),1D3A72,3
19525565,0,5,5: La Huaracha (vía Llano Grande) → Mercado,1D3A72,3
19525567,0,6,6: Mercado → La Huaracha (vía Aldama),1D3A72,3
19525570,0,6,6: La Huaracha (vía Aldama) → Mercado,1D3A72,3
19525601,0,7,7: Mercado → El Saltillo,1D3A72,3
19525606,0,7,7: El Saltillo → Mercado,1D3A72,3
19525611,0,8,8: Mercado → Calpulalplan,1D3A72,3
19525623,0,8,8: Calpulalplan → Mercado,1D3A72,3
19525638,0,9,9: Mercado → Xhimohay,1D3A72,3
19525651,0,9,9: Xhimohay → Mercado,1D3A72,3
19525659,0,10,10: Mercado → Ejido San Lorenzo Octeyuco,1D3A72,3
19525663,0,10,10: Ejido San Lorenzo Octeyuco → Mercado,1D3A72,3
19525667,0,11,11: Mercado → Doxhicho,1D3A72,3
19525674,0,11,11: Doxhicho → Mercado,1D3A72,3
19525693,0,12,12: Mercado → San Lorenzo Octeyuco,1D3A72,3
19525699,0,14,14: Mercado → San Pablo/El Pedregal,1D3A72,3
19525710,0,12,12: San Lorenzo Octeyuco → Mercado,1D3A72,3
19525711,0,14,14: San Pablo/El Pedregal → Mercado,1D3A72,3
19525716,0,15,15: Mercado → Santiago Oxthoc,1D3A72,3
19525720,0,15,15: Santiago Oxthoc → Mercado,1D3A72,3
19525723,1,16,16: Terminal → San Lorenzo Nenamicoyan,FB0102,3
19525724,1,16,16: San Lorenzo Nenamicoyan → Terminal,FB0102,3
19528431,2,17,17: Terminal → Km 107,99BF12,3
19528433,2,17,17: Km 107 → Terminal,99BF12,3
19528454,2,18A,18A: Terminal → San Juan Tuxtepec,99BF12,3
19528471,2,18A,18A: San Juan Tuxtepec → Terminal,99BF12,3
19528476,1,19,19: Terminal → San Andrés Timilpan,FB0102,3
19528479,1,19,19: San Andrés Timilpan → Terminal,FB0102,3
19528483,1,20,20: Terminal → San Martín Tuchicuitlapilco,FB0102,3
19528489,1,20,20: San Martín Tuchicuitlapilco → Terminal,FB0102,3
19528491,2,21A,21A: Terminal → Ojo de Agua,99BF12,3
19528506,2,21A,21A: Ojo de Agua → Terminal,99BF12,3
19528579,3,22,22: Terminal → Chapa de Mota (vía El Quinte),0165BB,3
19528584,3,22,22: Chapa de Mota (vía El Quinte) → Terminal,0165BB,3
19528589,4,23,23: Terminal → Chapa de Mota (vía Chapa),A8A487,3
19528594,4,23,23: Chapa de Mota (vía Chapa) → Terminal,A8A487,3
19528661,5,24,24: Terminal → Santiago Oxthoc/ El Xhiti,A52136,3
19528662,5,24,24: Santiago Oxthoc/ El Xhiti → Terminal,A52136,3
19528663,5,25,25: Terminal → Emiliano Zapata,A52136,3
19528664,5,25,25: Emiliano Zapata → Terminal,A52136,3
19528665,0,26,26: Enfrente Terminal → El Saltillito,1D3A72,3
19528666,0,26,26: El Saltillito → Enfrente Terminal,1D3A72,3
19531727,6,27,27: Enfrente Terminal → Ojo de Agua,D1AE3B,3
19531728,6,27,27: Ojo de Agua → Enfrente Terminal,D1AE3B,3
19531729,3,28,28: Enfrente Terminal → San Juan Tuxtepec,0165BB,3
19531730,3,28,28: San Juan Tuxtepec → Enfrente Terminal,0165BB,3
19531731,3,29,29: Enfrente Terminal → Xhimohay,0165BB,3
19531732,3,29,29: Xhimohay → Enfrente Terminal,0165BB,3
19531734,6,30A,30A: Aurrera → El Rosal,D1AE3B,3
19531735,6,30A,30A: El Rosal → Aurrera,D1AE3B,3
19531736,6,31,31: Aurrera → La Goleta/San Juan Daxthi,D1AE3B,3
19531739,6,31A,31A: La Goleta/San Juan Daxthi → Aurrera,D1AE3B,3
19531740,6,31B,31B: La Goleta/San Juan Daxthi → Aurrera,D1AE3B,3
19531741,2,32,32: Aurrera → Acazuchitlán (San Juanico),99BF12,3
19531742,2,32,32: Acazuchitlán (San Juanico) → Aurrera,99BF12,3
19531743,2,33,33: Aurrera → Bella Vista,99BF12,3
19531744,2,33,33: Bella Vista → Aurrera,99BF12,3
19531747,6,34,34: Aurrera → Doxhicho,D1AE3B,3
19531748,6,34,34: Doxhicho → Aurrera,D1AE3B,3
19558882,1,18B,18B: Terminal → San Juan Tuxtepec,FB0102,3
19558889,1,18B,18B: San Juan Tuxtepec → Terminal,FB0102,3
19558890,1,21B,21B: Terminal → Ojo de Agua,FB0102,3
19558896,1,21B,21B: Ojo de Agua → Terminal,FB0102,3
19558897,5,30B,30B: Aurrera → El Rosal,A52136,3
19558898,5,30B,30B: El Rosal → Aurrera,A52136,3
