stop_id,stop_name,stop_lat,stop_lon,stop_desc
2587966406,Calle Miguel Alemán y Calle Benito Juárez,19.9525896,-99.5304981,1(0)
7934331326,Innominada,19.9772578,-99.5828981,1(0)
3015602299,Innominada,19.9773085,-99.5825466,1(0)
9809434165,Innominada,19.9635221,-99.5320129,9(0-1-2-3-4-5-6-7-8)
5319088567,Innominada,19.9808501,-99.5701077,1(0)
7348076594,Innominada,20.0125158,-99.5874797,1(0)
2996943727,Innominada,19.9941619,-99.5792234,3(0-1-2)
2587966439,Calle Francisco I. Madero y Calle Benito Juárez,19.9527747,-99.5290101,1(0)
7313838251,Innominada,19.9486265,-99.4750978,1(0)
8095672540,Calle Benito Juárez,19.952731,-99.5289002,1(0)
8021478856,Innominada,19.9625149,-99.677791,1(0)
7391161963,Carretera a El Saltillo,20.0213214,-99.6699697,1(0)
2996940924,Carretera a El Saltillo,20.0206923,-99.6711245,1(0)
2995375878,Avenida Independencia,20.0578723,-99.633782,1(0)
7403555769,Carretera a Xhimójay,19.9246922,-99.6261815,2(0-5)
8393856625,Ixtlahuaca - Jilotepec,19.9643931,-99.5302614,3(0-3-4)
7333686081,Innominada,19.9307478,-99.5928079,1(0)
5299878386,Tlalnepantla - Villa del Carbón,19.8949568,-99.5619727,2(0-8)
5319088414,Innominada,19.94379,-99.606868,1(0)
6476936729,Avenida Revolución,19.9793654,-99.4900035,1(0)
7364513011,Innominada,19.9404731,-99.6041724,1(0)
6476936784,Avenida Revolución,19.9828396,-99.4909135,1(0)
5319089768,Innominada,20.1235856,-99.5481531,1(0)
8428766810,Avenida Andrés Molina Enríquez,19.9578777,-99.5326684,4(0-4-7-8)
5229036531,Innominada,20.1396161,-99.637928,1(3)
7376660982,Innominada,20.0840835,-99.6274687,2(3-4)
8035722358,Carretera Jilotepec - Ixtlahuaca,19.8933637,-99.6239188,3(3-4-5)
5624758383,Carretera Jilotepec - Ixtlahuaca,19.8934722,-99.6239604,2(3-5)
3015745586,Innominada,20.0936974,-99.6457145,1(3)
4097785285,Carretera México - Querétaro (Cuota),20.0808175,-99.646503,1(3)
8033387362,Ixtlahuaca - Jilotepec,19.972515,-99.4487518,2(3-4)
8047759666,Ixtlahuaca - Jilotepec,19.9725787,-99.4488041,2(3-4)
5638869849,Tlalnepantla - Villa del Carbón,19.8584015,-99.5403072,2(5-6)
7377219338,Innominada,20.1413184,-99.5514885,1(7)
7376634172,Innominada,20.1482779,-99.5232124,1(7)
6476936629,Innominada,19.9634254,-99.5322814,3(0-5-8)
2996935970,Innominada,20.0519559,-99.6591615,1(0)
4316403306,Carretera Corrales-Jilotepec y Ixtlahuaca - Jilotepec,19.9705881,-99.4521689,1(8)
4316403305,Ixtlahuaca - Jilotepec y Carretera Corrales-Jilotepec,19.9706552,-99.4521991,1(8)
7327163254,Avenida Andrés Molina Enríquez,19.9588859,-99.5326593,3(4-7-8)
2013700965,Entronque El Rosal,20.1015185,-99.6970291,2(7-8)
5216962524,Innominada,20.0970596,-99.5262971,1(8)
2554721630,Innominada,20.158985,-99.5964557,1(4)
8395937616,Avenida Andrés Molina Enríquez,19.9582626,-99.5327343,1(4)
7377344469,Innominada,20.1406586,-99.6090198,1(4)
