trip_id,route_id,service_id,shape_id
0,17966453,Mo-Sa,17966453
1,17966453,Su,17966453
2,17966890,Mo-Sa,17966890
3,17966890,Su,17966890
4,17966892,Mo-Sa,17966892
5,17966892,Su,17966892
6,17966893,Mo-Sa,17966893
7,17966893,Su,17966893
8,17966901,Mo-Sa,17966901
9,17966901,Su,17966901
10,17966903,Mo-Sa,17966903
11,17966903,Su,17966903
12,17966909,Mo-Sa,17966909
13,17966909,Su,17966909
14,17966914,Mo-Su,17966914
15,17966915,Mo-Su,17966915
16,17966916,Mo-Su,17966916
17,17966922,Mo-Su,17966922
18,17966925,Mo-Sa,17966925
19,17966925,Su,17966925
20,17966927,Mo-Sa,17966927
21,17966927,Su,17966927
22,17966936,Mo-Sa,17966936
23,17966936,Su,17966936
24,17966940,Mo-Sa,17966940
25,17966940,Su,17966940
26,17966959,Mo-Sa,17966959
27,17966959,Su,17966959
28,17966961,Mo-Sa,17966961
29,17966961,Su,17966961
30,17966964,Mo-Sa,17966964
31,17966964,Su,17966964
32,17966970,Mo-Sa,17966970
33,17966970,Su,17966970
34,17966978,Mo-Sa,17966978
35,17966978,Su,17966978
36,17967149,Mo-Su,17967149
37,17967223,Mo-Sa,17967223
38,17967223,Su,17967223
39,17967228,Mo-Su,17967228
40,17967239,Mo-Sa,17967239
41,17967239,Su,17967239
42,17967257,Mo-Sa,17967257
43,17967257,Su,17967257
44,17967267,Mo-Sa,17967267
45,17967267,Su,17967267
46,17969223,Mo-Su,17969223
47,17969239,Mo-Sa,17969239
48,17969239,Su,17969239
49,17969241,Mo-Sa,17969241
50,17969241,Su,17969241
51,17969243,Mo-Sa,17969243
52,17969243,Su,17969243
53,17969251,Mo-Sa,17969251
54,17969251,Su,17969251
55,17969269,Mo-Sa,17969269
56,17969269,Su,17969269
57,17969277,Mo-Sa,17969277
58,17969277,Su,17969277
59,17969278,Mo-Sa,17969278
60,17969278,Su,17969278
61,17969284,Mo-Sa,17969284
62,17969284,Su,17969284
63,17969285,Mo-Sa,17969285
64,17969285,Su,17969285
65,17969291,Mo-Sa,17969291
66,17969291,Su,17969291
67,17969292,Mo-Sa,17969292
68,17969292,Su,17969292
69,17969294,Mo-Sa,17969294
70,17969294,Su,17969294
71,17969301,Mo-Sa,17969301
72,17969301,Su,17969301
73,17969303,Mo-Sa,17969303
74,17969303,Su,17969303
75,17969309,Mo-Sa,17969309
76,17969309,Su,17969309
77,17969313,Mo-Su,17969313
78,17969315,Mo-Su,17969315
79,17969316,Mo-Sa,17969316
80,17969316,Su,17969316
81,17969328,Mo-Su,17969328
82,17969337,Mo-Sa,17969337
83,17969337,Su,17969337
84,17969340,Mo-Sa,17969340
85,17969340,Su,17969340
86,17969412,Mo-Sa,17969412
87,17969412,Su,17969412
88,17969420,Mo-Sa,17969420
89,17969420,Su,17969420
90,17969430,Mo-Sa,17969430
91,17969430,Su,17969430
92,17969431,Mo-Sa,17969431
93,17969431,Su,17969431
94,17969434,Mo-Sa,17969434
95,17969434,Su,17969434
96,17969435,Mo-Sa,17969435
97,17969435,Su,17969435
98,17969445,Mo-Sa,17969445
99,17969445,Su,17969445
100,17969491,Mo-Sa,17969491
101,17969491,Su,17969491
102,17969493,Mo-Sa,17969493
103,17969493,Su,17969493
104,17969495,Mo-Sa,17969495
105,17969495,Su,17969495
106,17969499,Mo-Su,17969499
107,17969500,Mo-Su,17969500
108,17969502,Mo-Su,17969502
109,17969503,Mo-Sa,17969503
110,17969503,Su,17969503
111,17969507,Mo-Sa,17969507
112,17969507,Su,17969507
113,17969509,Mo-Su,17969509
114,17969510,Mo-Sa,17969510
115,17969510,Su,17969510
116,17969533,Mo-Sa,17969533
117,17969533,Su,17969533
118,17969605,Mo-Sa,17969605
119,17969605,Su,17969605
120,17969618,Mo-Su,17969618
121,17969631,Mo-Sa,17969631
122,17969631,Su,17969631
123,17969636,Mo-Sa,17969636
124,17969636,Su,17969636
125,17969638,Mo-Sa,17969638
126,17969638,Su,17969638
127,17969640,Mo-Sa,17969640
128,17969640,Su,17969640
129,17969816,Mo-Sa,17969816
130,17969816,Su,17969816
131,17969829,Mo-Sa,17969829
132,17969829,Su,17969829
133,17969830,Mo-Sa,17969830
134,17969830,Su,17969830
135,17969835,Mo-Sa,17969835
136,17969835,Su,17969835
137,17969861,Mo-Sa,17969861
138,17969861,Su,17969861
139,17969887,Mo-Sa,17969887
140,17969887,Su,17969887
141,17969888,Mo-Sa,17969888
142,17969888,Su,17969888
143,17969924,Mo-Sa,17969924
144,17969924,Su,17969924
145,17969956,Mo-Sa,17969956
146,17969956,Su,17969956
147,17989359,Mo-Sa,17989359
148,17989359,Su,17989359
149,17989486,Mo-Sa,17989486
150,17989486,Su,17989486
151,17989539,Mo-Sa,17989539
152,17989539,Su,17989539
153,18660225,Mo-Su,18660225
154,18898951,Mo-Su,18898951
155,18898984,Mo-Su,18898984
156,18910380,Mo-Su,18910380
157,18910381,Mo-Su,18910381
158,18910389,Mo-Su,18910389
159,18910390,Mo-Su,18910390
160,18910391,Mo-Su,18910391
161,18910401,Mo-Su,18910401
162,18910406,Mo-Su,18910406
163,18910409,Mo-Su,18910409
164,18910412,Mo-Su,18910412
165,18910414,Mo-Su,18910414
166,18910416,Mo-Su,18910416
167,18910427,Mo-Su,18910427
168,18910428,Mo-Su,18910428
169,18910435,Mo-Su,18910435
170,18910455,Mo-Su,18910455
171,18910461,Mo-Su,18910461
172,18910469,Mo-Su,18910469
173,18910487,Mo-Su,18910487
174,18910500,Mo-Su,18910500
175,18910506,Mo-Su,18910506
176,18910508,Mo-Su,18910508
177,18910509,Mo-Su,18910509
178,19133123,Mo-Sa,19133123
179,19133123,Su,19133123
