trip_id,start_time,end_time,headway_secs,exact_times
0,06:00:00,20:00:00,300,1
1,06:00:00,20:00:00,300,1
2,06:00:00,20:00:00,300,1
3,06:00:00,20:00:00,300,1
4,06:00:00,20:00:00,300,1
5,06:00:00,20:00:00,300,1
6,06:00:00,20:00:00,300,1
7,06:00:00,20:00:00,300,1
8,06:00:00,20:00:00,300,1
9,06:00:00,20:00:00,300,1
10,06:00:00,19:00:00,300,1
11,06:00:00,19:00:00,300,1
12,06:00:00,19:00:00,300,1
13,06:00:00,19:00:00,300,1
14,06:00:00,19:00:00,300,1
15,06:00:00,19:00:00,300,1
16,06:00:00,19:00:00,300,1
17,06:00:00,20:00:00,300,1
18,06:00:00,19:00:00,300,1
19,06:00:00,20:00:00,300,1
20,06:00:00,19:00:00,300,1
21,06:00:00,19:00:00,300,1
22,06:00:00,19:00:00,300,1
23,06:00:00,19:00:00,300,1
24,06:00:00,19:00:00,300,1
25,06:00:00,19:00:00,300,1
26,06:00:00,19:00:00,300,1
27,06:00:00,19:00:00,300,1
28,06:00:00,20:00:00,300,1
29,06:00:00,20:00:00,300,1
30,06:00:00,19:00:00,300,1
31,06:00:00,19:00:00,300,1
