fare_id,route_id
0,19298683
1,19314052
2,19314094
3,19332793
4,19332888
5,19332950
6,19332988
7,19333033
8,19335338
9,19335385
10,19336099
11,19338099
12,19338129
13,19338155
14,19338186
15,19338232
16,19344359
17,19344389
18,19344409
19,19344429
20,19344461
21,19353306
22,19353330
23,19353331
24,19353332
25,19353348
26,19353351
27,19353501
28,19362578
29,19362601
30,19362893
31,19362900
32,19363169
33,19363178
34,19364993
35,19365002
36,19365007
37,19365103
38,19365123
39,19365134
40,19365144
41,19365151
42,19370861
