trip_id,start_time,end_time,headway_secs,exact_times
0,07:30:00,20:00:00,300,1
1,06:00:00,20:00:00,300,1
2,06:00:00,20:00:00,300,1
3,06:45:00,20:05:00,300,1
4,06:45:00,20:05:00,300,1
5,06:30:00,20:00:00,300,1
6,06:30:00,20:00:00,300,1
7,06:25:00,20:20:00,300,1
8,06:00:00,19:55:00,300,1
9,07:10:00,18:40:00,300,1
10,07:10:00,18:40:00,300,1
11,06:45:00,21:00:00,300,1
12,06:55:00,20:20:00,300,1
13,06:20:00,19:35:00,300,1
14,05:55:00,20:40:00,300,1
15,06:30:00,21:10:00,300,1
16,05:30:00,21:00:00,300,1
17,05:30:00,21:00:00,300,1
18,07:10:00,19:50:00,300,1
19,06:15:00,19:50:00,300,1
20,06:45:00,20:30:00,300,1
21,06:20:00,20:05:00,300,1
22,06:00:00,20:00:00,300,1
23,06:00:00,20:00:00,300,1
24,06:00:00,20:00:00,300,1
25,06:00:00,20:00:00,300,1
26,06:20:00,19:50:00,300,1
27,06:20:00,19:50:00,300,1
28,06:00:00,20:00:00,300,1
29,06:00:00,20:00:00,300,1
30,07:00:00,20:00:00,300,1
31,07:00:00,20:00:00,300,1
32,06:00:00,20:00:00,300,1
33,06:00:00,20:00:00,300,1
34,08:00:00,20:00:00,300,1
35,08:00:00,20:00:00,300,1
36,06:00:00,22:00:00,300,1
37,06:00:00,22:00:00,300,1
38,06:00:00,18:00:00,300,1
39,06:00:00,18:00:00,300,1
40,06:00:00,22:00:00,300,1
41,06:00:00,22:00:00,300,1
42,07:30:00,20:00:00,300,1
