route_id,agency_id,route_short_name,route_long_name,route_color,route_type
18178778,0,Triángulo,Triángulo : San Miguel Toto → Terminal,999999,3
18212710,0,Triángulo,Triángulo : Terminal → Tlacotepec,999999,3
18212712,0,Triángulo,Triángulo : Terminal → San Miguel Toto,999999,3
18212716,0,Triángulo,Triángulo : Tlacotepec → Toluca Centro (Instituto Literario),999999,3
18212734,0,Triángulo,Triángulo : Terminal Toluca → Zaragoza,999999,3
18212736,0,Triángulo,Triángulo : Tlacotepec → Terminal,999999,3
18212738,0,Triángulo,Triángulo : Toluca Centro (Instituto Literario) → Tlacotepec,999999,3
18212742,0,Triángulo,Triángulo : Zaragoza → Terminal Toluca,999999,3
18212744,0,Triángulo,Triángulo : San Andres Ocotlan → Terminal Toluca-(Mpio. de Calimaya),999999,3
18212752,0,Triángulo,Triángulo : (Mpio. de Calimaya) → San Andres Ocotlan,999999,3
18212802,0,Triángulo,Triángulo : Centro Toluca → Calimaya,999999,3
18212813,0,Triángulo,Triángulo : Terminal → Ocotitlan,999999,3
18212821,0,Triángulo,Triángulo : Terminal → La Huerta,999999,3
18212846,0,Triángulo,Triángulo : Ocotitlan → Terminal,999999,3
18265943,1,Estrella,Estrella : Toluca → Santiago Tianguistenco por Acueducto,377eb8,3
18265967,1,Estrella,Estrella : Toluca → San Nicolas Peralta,377eb8,3
18265983,1,Estrella,Estrella : Toluca → Santiago Tianguistenco,377eb8,3
18266002,1,Estrella,Estrella : Atarasquillo (Lerma) → Toluca Centro,377eb8,3
18266011,1,Estrella,Estrella : Toluca → Santiago Tianguistenco por Carretera Toluca México,377eb8,3
18266023,1,Estrella,Estrella : Toluca → San Miguel Ameyalco,377eb8,3
18266067,1,Estrella,Estrella : Toluca → Chalma,377eb8,3
18266070,1,Estrella,Estrella : El Charco → Toluca,377eb8,3
18266131,1,Estrella,Estrella : Santiago Tianguistenco por Carretera Toluca México → Toluca,377eb8,3
18266173,2,Flecha Blanca,Flecha Blanca : Jicaltepec → Toluca Centro,ff7f00,3
18266201,1,Estrella,Estrella : San Mateo Atenco → San Mateo Atenco,377eb8,3
18266208,1,Estrella,Estrella : Toluca → Cerrillo,377eb8,3
18266214,2,Flecha Blanca,Flecha Blanca : Toluca Centro → Jicaltepec,ff7f00,3
18268019,1,Estrella,Estrella : Acazulco → Toluca,377eb8,3
18268037,1,Estrella,Estrella : Toluca → Cholula,377eb8,3
18268072,1,Estrella,Estrella : Almaya → Toluca,377eb8,3
18268107,1,Estrella,Estrella : Chalma → Toluca,377eb8,3
18268117,1,Estrella,Estrella : Almaya → Santiago Tianguistenco,377eb8,3
18268120,1,Estrella,Estrella : Xonacatlán → Santa María Tlalmimilolpan,377eb8,3
18268133,1,Estrella,Estrella : Santiago Tianguistenco por Acueducto → Toluca,377eb8,3
18268136,1,Estrella,Estrella : San Nicolás Peralta (Lerma) → Toluca Centro,377eb8,3
18268140,1,Estrella,Estrella : San Lorenzo → Toluca,377eb8,3
18268144,1,Estrella,Estrella : Santa María Tlalmimilolpan → Toluca,377eb8,3
18268152,1,Estrella,Estrella : Toluca → San Francisco Xochicuahutla,377eb8,3
18268203,2,Flecha Blanca,Flecha Blanca : La Palma → Terminal Toluca,ff7f00,3
18268365,1,Estrella,Estrella : Toluca → San Lorenzo Huitzizilapan,377eb8,3
18268510,1,Estrella,Estrella : Toluca → Metro Toreo,377eb8,3
18268545,2,Flecha Blanca,Flecha Blanca : Toluca → San Diego Linares por Villa Seca Municipio de Otzolotepec,ff7f00,3
18268559,2,Flecha Blanca,Flecha Blanca : Toluca → Colonia Lerdo de Tejada por Colonia San Marcos,ff7f00,3
18269212,1,Estrella,Estrella : Santiago Tianguistenco → Toluca,377eb8,3
18284841,2,01-A012-04,Flecha Blanca : San Carlos → Terminal Toluca,ff7f00,3
18289699,2,Flecha Blanca,Flecha Blanca : Toluca → Terminal Toluca,ff7f00,3
18289706,2,Flecha Blanca,Flecha Blanca : Terminal Toluca → San Cristóbal,ff7f00,3
18291846,3,Del Valle,Del Valle : Puente Nuevo por Lerdo → Fraccionamiento SUTEYM,4daf4a,3
18291869,2,Flecha Blanca,Flecha Blanca : Toluca → San Pablo,ff7f00,3
18291925,3,Del Valle,Del Valle : Fraccionamiento SUTEYM → Puente Nuevo por Lerdo,4daf4a,3
18291941,2,Flecha Blanca,Flecha Blanca : Mina México → Toluca,ff7f00,3
18291951,2,Flecha Blanca,Flecha Blanca : San Pablo → Toluca Centro,ff7f00,3
18291954,4,TEO,TEO : Aeropuerto → San Luis Mextepec.,4daf4a,3
18291959,2,Flecha Blanca,Flecha Blanca : Central de Abasto → Toluca Centro por El Rastro,ff7f00,3
18291963,1,Estrella,Estrella : Toluca Centro → Atarasquillo (Lerma),377eb8,3
18291971,1,Estrella,Estrella : Toluca → Almaya,377eb8,3
18291974,1,Estrella,Estrella : San Miguel Ameyalco → Toluca,377eb8,3
18291977,4,TEO,TEO : Tecaxic → Toluca Centro por Morelos,4daf4a,3
18291998,2,Flecha Blanca,Flecha Blanca : San Andrés Cuexcontitlan → Terminal Toluca por La Maquinita,ff7f00,3
18292006,1,Estrella,Estrella : Cholula → Toluca,377eb8,3
18292016,1,Estrella,Estrella : San Mateo Atenco → San Mateo Atenco,377eb8,3
18292017,1,Estrella,Estrella : Toluca → El Charco,377eb8,3
18292019,2,Flecha Blanca,Flecha Blanca : Toluca → Palmillas,ff7f00,3
18292021,2,Flecha Blanca,Flecha Blanca : Cebetis → Terminal Toluca por El Tejocote,ff7f00,3
18292060,3,Del Valle,Del Valle : Colegio Mexiquense → San Pedro Tultepec,4daf4a,3
18292175,4,TEO,TEO : Santa María del Monte → Monumento a Zapata,4daf4a,3
18292226,4,TEO,TEO : Ojo de Agua → Monumento a Emiliano Zapata,4daf4a,3
18334498,1,Estrella,Estrella : Santiago Tianguistenco → Almaya,377eb8,3
18334502,1,Estrella,Estrella : San Nicolas Peralta → Toluca,377eb8,3
18334522,1,Estrella,Estrella : Cerrillo → Toluca,377eb8,3
18334536,1,Estrella,Estrella : Toluca Centro → San Nicolás Peralta (Lerma),377eb8,3
18334552,1,Estrella,Estrella : Toluca → Acazulco,377eb8,3
18494467,1,Estrella,Estrella : Santa María Tlalmimilolpan → Xonacatlán,377eb8,3
18494515,1,Estrella,Estrella : Toluca → San Lorenzo,377eb8,3
18510029,1,Estrella,Estrella : San Francisco Xochicuahutla → Toluca,377eb8,3
18510108,1,Estrella,Estrella : San Lorenzo Huitzizilapan → Toluca,377eb8,3
18511109,1,Estrella,Estrella : Metro Toreo → Toluca,377eb8,3
18582498,5,Ala de Oro,Ala de Oro : San Diego de los Padres → Terminal Toluca,f781bf,3
18702473,3,Del Valle,Del Valle : San Pedro Tultepec → Colegio Mexiquense,4daf4a,3
18704711,2,Flecha Blanca,Flecha Blanca : Terminal Toluca → La Palma,ff7f00,3
18704717,2,Flecha Blanca,Flecha Blanca : Toluca → Mina México,ff7f00,3
18704763,2,Flecha Blanca,Flecha Blanca : Colonia Lerdo de Tejada por Colonia San Marcos → Toluca,ff7f00,3
18704775,2,Flecha Blanca,Flecha Blanca : Terminal Toluca → San Carlos,ff7f00,3
18704787,2,Flecha Blanca,Flecha Blanca : Palmillas → Toluca,ff7f00,3
18704821,2,Flecha Blanca,Flecha Blanca : San Diego Linares por Villa Seca Municipio de Otzolotepec → Toluca,ff7f00,3
18704854,2,Flecha Blanca,Flecha Blanca : Terminal Toluca → Toluca,ff7f00,3
18708785,2,Flecha Blanca,Flecha Blanca : San Pablo → Toluca,ff7f00,3
18708963,2,Flecha Blanca,Flecha Blanca : Toluca Centro → San Pablo,ff7f00,3
18709005,2,Flecha Blanca,Flecha Blanca : Terminal Toluca por La Maquinita → San Andrés Cuexcontitlan,ff7f00,3
18709021,5,Ala de Oro,Ala de Oro : Cerrillo Vista Hermosa → Terminal Toluca por El Arbolito,f781bf,3
18709039,2,Flecha Blanca,Flecha Blanca : Terminal Toluca por El Tejocote → Cebetis,ff7f00,3
18709052,2,Flecha Blanca,Flecha Blanca : San Cristóbal → Terminal Toluca,ff7f00,3
18709057,2,Flecha Blanca,Flecha Blanca : Toluca Centro por El Rastro → Central de Abasto,ff7f00,3
18709058,4,TEO,TEO : San Luis Mextepec → Aeropuerto,4daf4a,3
18709064,4,TEO,TEO : Toluca Centro por Morelos → Tecaxic,4daf4a,3
18709204,4,TEO,TEO : Monumento a Zapata → Santa María del Monte,4daf4a,3
18709212,4,TEO,TEO : Monumento a Emiliano Zapata → Ojo de Agua,4daf4a,3
18709213,5,Ala de Oro,Ala de Oro : Terminal Toluca por El Arbolito → Cerrillo Vista Hermosa,f781bf,3
18709218,5,Ala de Oro,Ala de Oro : San Nicolás Tolentino → Terminal Toluca por San Mateo Otzacatipan,f781bf,3
18718061,5,Ala de Oro,Ala de Oro : Terminal Toluca → San Diego de los Padres,f781bf,3
18718067,5,Ala de Oro,Ala de Oro : Terminal Toluca por San Mateo Otzacatipan → San Nicolás Tolentino,f781bf,3
18718069,5,Ala de Oro,Ala de Oro : San Pedro Totoltepec → Terminal Toluca por La Cruz Comalco,f781bf,3
18722171,5,Ala de Oro,Ala de Oro : Terminal Toluca por La Cruz Comalco → San Pedro Totoltepec,f781bf,3
18732687,6,ATSUZI,ATSUZI : Arbolito → Metepec,e41a1c,3
18732690,6,ATSUZI,ATSUZI : Metepec → Arbolito,e41a1c,3
18732693,6,ATSUZI,ATSUZI : El Arbolito → La Maquinita,e41a1c,3
18732694,6,ATSUZI,ATSUZI : La Maquinita → El Arbolito,e41a1c,3
18732696,6,ATSUZI,ATSUZI : El Arbolito → Terminal Toluca,e41a1c,3
18732701,6,ATSUZI,ATSUZI : Terminal Toluca → El Arbolito,e41a1c,3
18732703,6,ATSUZI,ATSUZI : Terminal → Parque Industrial (Puente Nuevo),e41a1c,3
18732704,6,ATSUZI,ATSUZI : Parque Industrial (Puente Nuevo) → Terminal,e41a1c,3
18732705,6,ATSUZI,ATSUZI : Fraccionamiento Rincón de San Lorenzo por Morelia → Terminal Toluca,e41a1c,3
18732706,6,ATSUZI,ATSUZI : Terminal Toluca → Fraccionamiento Rincón de San Lorenzo por Morelia,e41a1c,3
18735457,0,Triángulo,Triángulo : El Refugio → Terminal,999999,3
18735466,0,Triángulo,Triángulo : Terminal → El Refugio,999999,3
18735497,6,ATSUZI,ATSUZI : Cerrillo → Toluca,e41a1c,3
18735536,6,ATSUZI,ATSUZI : Toluca → Cerrillo,e41a1c,3
18735566,6,ATSUZI,ATSUZI : Constitución Totoltepec → Terminal Toluca,e41a1c,3
18735575,6,ATSUZI,ATSUZI : Terminal Toluca → Constitución Totoltepec,e41a1c,3
18735597,6,ATSUZI,ATSUZI : Cerrillo San Pedro → Rafael M. Hidalgo,e41a1c,3
