trip_id,route_id,service_id,shape_id
0,18178778,Mo-Su,18178778
1,18212710,Mo-Su,18212710
2,18212712,Mo-Su,18212712
3,18212716,Mo-Su,18212716
4,18212734,Mo-Su,18212734
5,18212736,Mo-Su,18212736
6,18212738,Mo-Su,18212738
7,18212752,Mo-Su,18212752
8,18212802,Mo-Su,18212802
9,18212813,Mo-Su,18212813
10,18212821,Mo-Su,18212821
11,18212846,Mo-Su,18212846
12,18265943,Mo-Su,18265943
13,18265967,Mo-Su,18265967
14,18265983,Mo-Su,18265983
15,18266011,Mo-Su,18266011
16,18266023,Mo-Su,18266023
17,18266067,Mo-Su,18266067
18,18266070,Mo-Su,18266070
19,18266131,Mo-Su,18266131
20,18266173,Mo-Su,18266173
21,18266201,Mo-Su,18266201
22,18266208,Mo-Su,18266208
23,18266214,Mo-Su,18266214
24,18268019,Mo-Su,18268019
25,18268037,Mo-Su,18268037
26,18268072,Mo-Su,18268072
27,18268107,Mo-Su,18268107
28,18268117,Mo-Su,18268117
29,18268133,Mo-Su,18268133
30,18268136,Mo-Su,18268136
31,18268140,Mo-Su,18268140
32,18268144,Mo-Su,18268144
33,18268152,Mo-Su,18268152
34,18268203,Mo-Su,18268203
35,18268365,Mo-Su,18268365
36,18268510,Mo-Su,18268510
37,18268545,Mo-Su,18268545
38,18268559,Mo-Su,18268559
39,18269212,Mo-Su,18269212
40,18284841,Mo-Su,18284841
41,18289699,Mo-Su,18289699
42,18289706,Mo-Su,18289706
43,18291846,Mo-Su,18291846
44,18291869,Mo-Su,18291869
45,18291925,Mo-Su,18291925
46,18291941,Mo-Su,18291941
47,18291951,Mo-Su,18291951
48,18291954,Mo-Su,18291954
49,18291959,Mo-Su,18291959
50,18291963,Mo-Su,18291963
51,18291971,Mo-Su,18291971
52,18291974,Mo-Su,18291974
53,18291977,Mo-Su,18291977
54,18291998,Mo-Su,18291998
55,18292006,Mo-Su,18292006
56,18292016,Mo-Su,18292016
57,18292017,Mo-Su,18292017
58,18292019,Mo-Su,18292019
59,18292021,Mo-Su,18292021
60,18292060,Mo-Su,18292060
61,18292175,Mo-Su,18292175
62,18292226,Mo-Su,18292226
63,18334498,Mo-Su,18334498
64,18334502,Mo-Su,18334502
65,18334522,Mo-Su,18334522
66,18334536,Mo-Su,18334536
67,18334552,Mo-Su,18334552
68,18494467,Mo-Su,18494467
69,18494515,Mo-Su,18494515
70,18510029,Mo-Su,18510029
71,18510108,Mo-Su,18510108
72,18511109,Mo-Su,18511109
73,18582498,Mo-Su,18582498
74,18702473,Mo-Su,18702473
75,18704711,Mo-Su,18704711
76,18704717,Mo-Su,18704717
77,18704763,Mo-Su,18704763
78,18704775,Mo-Su,18704775
79,18704787,Mo-Su,18704787
80,18704821,Mo-Su,18704821
81,18704854,Mo-Su,18704854
82,18708785,Mo-Su,18708785
83,18708963,Mo-Su,18708963
84,18709005,Mo-Su,18709005
85,18709021,Mo-Su,18709021
86,18709039,Mo-Su,18709039
87,18709052,Mo-Su,18709052
88,18709057,Mo-Su,18709057
89,18709058,Mo-Su,18709058
90,18709064,Mo-Su,18709064
91,18709204,Mo-Su,18709204
92,18709212,Mo-Su,18709212
93,18709213,Mo-Su,18709213
94,18709218,Mo-Su,18709218
95,18718061,Mo-Su,18718061
96,18718069,Mo-Su,18718069
97,18722171,Mo-Su,18722171
98,18732690,Mo-Su,18732690
99,18732693,Mo-Su,18732693
100,18732694,Mo-Su,18732694
101,18732696,Mo-Su,18732696
102,18732701,Mo-Su,18732701
103,18732703,Mo-Su,18732703
104,18732704,Mo-Su,18732704
105,18732705,Mo-Su,18732705
106,18732706,Mo-Su,18732706
107,18735441,Mo-Su,18735441
108,18735446,Mo-Su,18735446
109,18735457,Mo-Su,18735457
110,18735466,Mo-Su,18735466
