agency_id,fare_id,price,currency_type,payment_method
0,0,1,PEN,0
0,1,1,PEN,0
1,2,1,PEN,0
2,3,1,PEN,0
3,4,1,PEN,0
4,5,1,PEN,0
5,6,1,PEN,0
6,7,1,PEN,0
7,8,1,PEN,0
8,9,1,PEN,0
9,10,1,PEN,0
4,11,1,PEN,0
10,12,1,PEN,0
11,13,1,PEN,0
12,14,1,PEN,0
13,15,1,PEN,0
14,16,1,PEN,0
15,17,1,PEN,0
16,18,1,PEN,0
17,19,1,PEN,0
18,20,1,PEN,0
19,21,1,PEN,0
4,22,1,PEN,0
20,23,1,PEN,0
21,24,1,PEN,0
1,25,1,PEN,0
5,26,1,PEN,0
1,27,1,PEN,0
22,28,1,PEN,0
23,29,1,PEN,0
24,30,1,PEN,0
25,31,1,PEN,0
4,32,1,PEN,0
26,33,1,PEN,0
27,34,1,PEN,0
28,35,1,PEN,0
29,36,1,PEN,0
30,37,1,PEN,0
31,38,1,PEN,0
32,39,1,PEN,0
33,40,1,PEN,0
34,41,1,PEN,0
35,42,1,PEN,0
36,43,1,PEN,0
37,44,1,PEN,0
38,45,1,PEN,0
39,46,1,PEN,0
40,47,1,PEN,0
41,48,1,PEN,0
42,49,1,PEN,0
5,50,1,PEN,0
43,51,1,PEN,0
44,52,1,PEN,0
44,53,1,PEN,0
45,54,1,PEN,0
46,55,1,PEN,0
45,56,1,PEN,0
47,57,1,PEN,0
48,58,1,PEN,0
48,59,1,PEN,0
49,60,1,PEN,0
49,61,1,PEN,0
50,62,1,PEN,0
50,63,1,PEN,0
51,64,1,PEN,0
51,65,1,PEN,0
52,66,1,PEN,0
52,67,1,PEN,0
53,68,1,PEN,0
53,69,1,PEN,0
54,70,1,PEN,0
54,71,1,PEN,0
55,72,1,PEN,0
55,73,1,PEN,0
56,74,1,PEN,0
56,75,1,PEN,0
57,76,1,PEN,0
57,77,1,PEN,0
58,78,1,PEN,0
58,79,1,PEN,0
4,80,1,PEN,0
4,81,1,PEN,0
5,82,1,PEN,0
5,83,1,PEN,0
59,84,1,PEN,0
59,85,1,PEN,0
60,86,1,PEN,0
60,87,1,PEN,0
61,88,1,PEN,0
61,89,1,PEN,0
62,90,1,PEN,0
62,91,1,PEN,0
63,92,1,PEN,0
64,93,1,PEN,0
64,94,1,PEN,0
4,95,1,PEN,0
4,96,1,PEN,0
5,97,1,PEN,0
5,98,1,PEN,0
14,99,1,PEN,0
14,100,1,PEN,0
65,101,1,PEN,0
65,102,1,PEN,0
5,103,1,PEN,0
66,104,1,PEN,0
1,105,1,PEN,0
46,106,1,PEN,0
67,107,1,PEN,0
32,108,1,PEN,0
14,109,1,PEN,0
15,110,1,PEN,0
6,111,1,PEN,0
9,112,1,PEN,0
68,113,1,PEN,0
69,114,1,PEN,0
69,115,1,PEN,0
31,116,1,PEN,0
67,117,1,PEN,0
10,118,1,PEN,0
4,119,1,PEN,0
5,120,1,PEN,0
12,121,1,PEN,0
8,122,1,PEN,0
30,123,1,PEN,0
70,124,0,PEN,0
3,125,1,PEN,0
4,126,1,PEN,0
13,127,1,PEN,0
47,128,1,PEN,0
1,129,1,PEN,0
71,130,1,PEN,0
72,131,1,PEN,0
72,132,1,PEN,0
7,133,1,PEN,0
4,134,1,PEN,0
17,135,1,PEN,0
16,136,1,PEN,0
18,137,1,PEN,0
11,138,1,PEN,0
5,139,1,PEN,0
73,140,0,PEN,0
74,141,1,PEN,0
19,142,1,PEN,0
21,143,1,PEN,0
5,144,1,PEN,0
1,145,1,PEN,0
24,146,1,PEN,0
4,147,1,PEN,0
75,148,1,PEN,0
1,149,1,PEN,0
5,150,1,PEN,0
70,151,1,PEN,0
73,152,1,PEN,0
23,153,1,PEN,0
25,154,1,PEN,0
66,155,1,PEN,0
4,156,1,PEN,0
1,157,1,PEN,0
26,158,1,PEN,0
27,159,1,PEN,0
28,160,1,PEN,0
29,161,1,PEN,0
33,162,1,PEN,0
2,163,1,PEN,0
76,164,1,PEN,0
77,165,1,PEN,0
36,166,1,PEN,0
4,167,1,PEN,0
4,168,1,PEN,0
22,169,1,PEN,0
14,170,1,PEN,0
35,171,1,PEN,0
78,172,1,PEN,0
37,173,1,PEN,0
38,174,1,PEN,0
42,175,1,PEN,0
4,176,1,PEN,0
39,177,1,PEN,0
40,178,1,PEN,0
41,179,1,PEN,0
79,180,1,PEN,0
80,181,1,PEN,0
71,182,1,PEN,0
34,183,1,PEN,0
74,184,1,PEN,0
78,185,1,PEN,0
79,186,1,PEN,0
80,187,1,PEN,0
14,188,1,PEN,0
63,189,1,PEN,0
