fare_id,route_id
0,17445532
1,17445672
2,17511052
3,17511191
4,17515510
5,17518939
6,17581799
7,17607753
8,17608042
9,17608045
10,17608051
11,17608055
12,17608110
13,17619994
14,17620010
15,17626535
16,17633924
17,17633927
18,17633932
19,17633933
20,17633936
21,17633938
22,17634339
23,17634360
24,17636285
25,17636304
26,17636305
27,17636328
28,17636366
29,17636375
30,17636635
31,17642932
32,17643025
33,17643070
34,17644902
35,17644912
36,17644947
37,17653490
38,17653560
39,17653636
40,17654231
41,17654414
42,17658187
43,17658190
44,17658204
45,17658205
46,17658212
47,17658213
48,17658215
49,17658252
50,17658522
51,17658549
52,17658550
53,17658558
54,17658664
55,17658669
56,17659504
57,17659544
58,17664509
59,17664511
60,17664629
61,17664645
62,17664646
63,17664647
64,17664648
65,17664649
66,17664775
67,17664776
68,17664787
69,17664788
70,17664789
71,17664790
72,17664791
73,17664792
74,17664793
75,17664794
76,17664795
77,17664821
78,17664822
79,17664823
80,17664824
81,17664825
82,17664826
83,17664827
84,17664828
85,17664829
86,17664830
87,17664831
88,17664971
89,17664972
90,17664973
91,17664974
92,17664975
93,17664977
94,17664978
95,17664981
96,17664982
97,17664983
98,17664984
99,17664985
100,17664986
101,17664987
102,17664988
103,17677829
104,17677911
105,17678105
106,17679511
107,17681083
108,17683264
109,17683265
110,17683266
111,17683267
112,17683268
113,17683270
114,17683271
115,17683272
116,17683273
117,17683274
118,17684885
119,17684886
120,17684887
121,17684888
122,17684889
123,17684890
124,17684891
125,17684893
126,17684894
127,17684907
128,17686763
129,17687840
130,17687934
131,17687963
132,17687966
133,17687967
134,17687970
135,17688012
136,17688013
137,17688014
138,17688015
139,17688016
140,17688017
141,17688018
142,17688019
143,17688020
144,17688021
145,17688022
146,17688023
147,17688024
148,17688025
149,17688026
150,17688027
151,17688028
152,17688029
153,17688030
154,17688031
155,17688038
156,17688039
157,17688040
158,17688041
159,17688044
160,17688045
161,17688046
162,17688047
163,17688048
164,17688049
165,17688050
166,17688051
167,17688052
168,17688053
169,17688054
170,17688055
171,17688056
172,17688057
173,17688058
174,17688059
175,17688060
176,17688061
177,17688062
178,17688063
179,17688064
180,17688065
181,17688066
182,17688180
183,17688206
184,17688207
185,17688208
186,17688209
187,17688210
188,17688229
189,17775694
