trip_id,route_id,service_id,shape_id
0,17445532,Mo-Su,17445532
1,17445672,Mo-Su,17445672
2,17511052,Mo-Su,17511052
3,17511191,Mo-Su,17511191
4,17515510,Mo-Su,17515510
5,17518939,Mo-Su,17518939
6,17581799,Mo-Su,17581799
7,17607753,Mo-Su,17607753
8,17608042,Mo-Su,17608042
9,17608045,Mo-Su,17608045
10,17608051,Mo-Su,17608051
11,17608055,Mo-Su,17608055
12,17608110,Mo-Su,17608110
13,17619994,Mo-Su,17619994
14,17620010,Mo-Su,17620010
15,17626535,Mo-Su,17626535
16,17633924,Mo-Su,17633924
17,17633927,Mo-Su,17633927
18,17633932,Mo-Su,17633932
19,17633933,Mo-Su,17633933
20,17633936,Mo-Su,17633936
21,17633938,Mo-Su,17633938
22,17634339,Mo-Su,17634339
23,17634360,Mo-Su,17634360
24,17636285,Mo-Su,17636285
25,17636304,Mo-Su,17636304
26,17636305,Mo-Su,17636305
27,17636328,Mo-Su,17636328
28,17636366,Mo-Su,17636366
29,17636375,Mo-Su,17636375
30,17636635,Mo-Su,17636635
31,17642932,Mo-Su,17642932
32,17643025,Mo-Su,17643025
33,17643070,Mo-Su,17643070
34,17644902,Mo-Su,17644902
35,17644912,Mo-Su,17644912
36,17644947,Mo-Su,17644947
37,17653490,Mo-Su,17653490
38,17653560,Mo-Su,17653560
39,17653636,Mo-Su,17653636
40,17654231,Mo-Su,17654231
41,17654414,Mo-Su,17654414
42,17658187,Mo-Su,17658187
43,17658190,Mo-Su,17658190
44,17658204,Mo-Su,17658204
45,17658205,Mo-Su,17658205
46,17658212,Mo-Su,17658212
47,17658213,Mo-Su,17658213
48,17658215,Mo-Su,17658215
49,17658252,Mo-Su,17658252
50,17658522,Mo-Su,17658522
51,17658549,Mo-Su,17658549
52,17658550,Mo-Su,17658550
53,17658558,Mo-Su,17658558
54,17658664,Mo-Su,17658664
55,17658669,Mo-Su,17658669
56,17659504,Mo-Su,17659504
57,17659544,Mo-Su,17659544
58,17664509,Mo-Su,17664509
59,17664511,Mo-Su,17664511
60,17664629,Mo-Su,17664629
61,17664645,Mo-Su,17664645
62,17664646,Mo-Su,17664646
63,17664647,Mo-Su,17664647
64,17664648,Mo-Su,17664648
65,17664649,Mo-Su,17664649
66,17664775,Mo-Su,17664775
67,17664776,Mo-Su,17664776
68,17664787,Mo-Su,17664787
69,17664788,Mo-Su,17664788
70,17664789,Mo-Su,17664789
71,17664790,Mo-Su,17664790
72,17664791,Mo-Su,17664791
73,17664792,Mo-Su,17664792
74,17664793,Mo-Su,17664793
75,17664794,Mo-Su,17664794
76,17664795,Mo-Su,17664795
77,17664821,Mo-Su,17664821
78,17664822,Mo-Su,17664822
79,17664823,Mo-Su,17664823
80,17664824,Mo-Su,17664824
81,17664825,Mo-Su,17664825
