fare_id,route_id
0,17350695
1,17419574
2,17434299
3,17434307
4,17434313
5,17434314
6,17434330
7,17434332
8,17434339
9,17434457
10,17434472
11,17463346
12,17463348
13,17463362
14,17463369
15,17463385
16,17463445
17,17463462
18,17491518
19,17492018
20,17508289
21,17508499
22,17508501
23,17508505
24,17508507
25,17520880
26,17520994
27,17521004
28,17521008
29,17521009
30,17521112
31,17521114
32,17521119
33,17521145
34,17521283
35,17521284
36,17522621
37,17522670
38,17522705
39,17522721
40,17522730
41,17527168
42,17527200
43,17527270
44,17527397
45,17527405
46,17549691
47,17549744
48,17550302
49,17551463
50,17554401
51,17554410
52,17554571
53,17554572
54,17554576
55,17554620
56,17554634
57,17554640
58,17554644
59,17554645
60,17554649
61,17554667
62,17554683
63,17554691
64,17554694
65,17569670
66,17573616
67,17580756
68,17580790
69,17581473
70,17581474
71,17581475
72,17581510
73,17581512
74,17581515
75,17581560
76,17581631
77,17581635
78,17581639
79,17581646
80,17581709
81,17581730
82,17581737
83,17581738
84,17595670
85,17595746
86,17595748
87,17595839
88,17595870
89,17605269
90,17612352
91,17612420
92,17612564
93,17669816
94,17669832
95,17669993
96,17670001
97,17670006
98,17670087
99,17670089
100,17670129
101,17670295
