route_id,agency_id,route_short_name,route_long_name,route_color,route_type
0,0,M-01 C,Via Panamericana Norte → Av. Manuel Seoane,,3
1,0,M-02 A,Ca. Turquesas → Av. Manuel Seoane,,3
2,0,M-03 B,A.H. Ciudad de Dios → A.H. Ciudad de Dios,,3
3,1,M-04 A,A.H. Cerro La Virgen → A.H. Cerro La Virgen,,3
4,1,M-05 H,Av. la Paz → Av. la Paz,,3
5,1,M-06 B,Av. la Paz → Av. Victor Raul Haya de la Torre,,3
6,2,M-07 V,Av. Libertad → Av. San Pedro,,3
7,2,M-08 A,Av. Libertad → Via Panamericana Norte,,3
8,2,M-09 BC,Av. Libertad → Av. San Pedro,,3
9,2,M-10 B1,Av. Libertad → Av. Los Tulipanes,,3
10,2,M-11 D,Av. San Pedro → Via Panamericana Norte,,3
11,2,M-12 C,Av. Libertad → Via Panamericana Norte,,3
12,2,M-36 LV,Ca. Virgen de la Puerta → Av. Libertad,,3
13,3,M-14 C3,A.H. Ciudad de Dios → Óvalo Larco,,3
14,4,M-16 C,Av. Vallejo → Ca. 8,,3
15,5,M-19 A,Manzana Ñ → Ca. 8,,3
16,5,M-18 C1,Av. Dos → Av. Dos,,3
17,6,M-20 C,Sector Nuevo Horizonte → Av. 12 de Noviembre,,3
18,6,M-21 A,Av. 12 de Noviembre → Sector Nuevo Horizonte,,3
19,6,M-22 F,Av. 12 de Noviembre → Av. Juan Pablo II,,3
20,6,M-28 A,A.H. Primavera III → Av. los Pajuiles,,3
21,7,M-23 B,Ca. Atahualpa → Ca. Pedro Ruiz Gallo,,3
22,8,M-25 A,Ca. Liverpool → Ca. F,,3
23,8,M-26 B,Futuro Barrio 5C → Ca. Alfonso Ugarte,,3
24,9,M-29 B,A.H. Primavera → Ca. Liverpool,,3
25,10,M-31 A,Av. América Sur → Ca. Nuevo Indoamérica,,3
26,11,M-34 A,Ca. Santa Ana → Ca. Los Pensamientos,,3
27,12,M-35 D,Vía Panamericana → Av. Del Contador,,3
28,13,C-01 B,Ca. Diego Quispe Tito → Ca. José la Rivera,,3
29,13,C-02 H,Av. Alan García → Av. Federico Villarreal,,3
30,13,C-03 JJ,Ca. de los Jasmines → Ca. Santa Rosa,,3
31,14,C-04 XS,Ca. de los Jasmines → Av. Federico Villarreal,,3
32,14,C-05 B1,Ca. Jirón Cuba → Av. Federico Villarreal,,3
33,15,C-06 K,A.H. El Reposo → Ca. Señor de Los Milagros,,3
34,15,C-07 Z1,A.H. El Reposo → Ca. 9 de Octubre,,3
35,15,C-08 O,Ca. Jirón los Algarobos → Ca. San Martín,,3
36,16,C-41 Z2,Distrito Huanchaco → Av. Dinamarca,,3
37,16,C-09 E,Distrito Huanchaco → Ca. San Gabriel,,3
38,17,C-10 M,Campiña de Moche → Av. Los Incas,,3
39,18,C-11 T1,Ca. Jirón Santa Isabel → Alto Porvenir,,3
40,18,C-39 S,Ca. Jirón Santa Isabel → Ca. Inca Roca,,3
41,19,C-12 B,Sector Taquila → A.H. Carlos García Ronceros,,3
42,20,C-13 D,Av. 12 de Noviembre → Ca. Miguiel Graú,,3
43,20,C-45 C,Av. 12 de Noviembre → Ca. Miguiel Graú,,3
44,21,C-14 S,Ca. José Galvez → Campiña de Moche,,3
45,22,C-43 A,Ca. Dieciseis → Av. Miguel Grau,,3
46,23,C-16 I,A.H. Ciudad de Dios → Av. Antenor Orrego,,3
47,23,C-17 F,A.H. Ciudad de Dios → Av. Juan Pablo II,,3
48,23,C-18 P,Cruce Vial S/N → Av. Cesar Vallejo,,3
49,24,C-19 NN,Av. Victor Raul Haya de la Torre → Barrio 5C,,3
50,25,C-23 S1,Ca. Venezuela → Ca. José Joaquín Inclán,,3
51,25,"C-24 H1, H2",Ca. 01 → Av. Larco,,3
52,26,M-27 AB,Av. Libertad → Av. Libertad,,3
53,9,M-28 A,A.H. Primavera III → Av. los Pajuiles,,3
54,27,C-20 UI,Urb. Valle Sol → Alto Trujillo,,3
55,3,M-13 C1,A.H. Ciudad de Dios → A.H. Ciudad de Dios,,3
56,3,M-15 C2,A.H. Ciudad de Dios → Sector Santa María Alta,,3
57,10,M-30 D,Ca. 11 → Ca. César Vallejo,,3
58,10,M-32 A1-B1,Sector Nuevo Indoamérica → Buenos Aires Sur,,3
59,11,M-33 B,Ca. Santa Ana → Av. América Sur,,3
60,28,C-25 S2,Av. Julian Arce → Ca. Manuel Romero,,3
61,28,C-26 U,Av. Julian Arce → Óvalo Grau,,3
62,27,C-21 R,Urb. Valle Sol → Alto Trujillo,,3
63,29,C-27 B,Av. Circunvalación → Av. José María Eguren,,3
64,27,C-22 M,Urb. Valle So → Alto Trujillo,,3
65,29,C-28 C,Sector Cerrito La Virgen → Óvalo Urb. Los Sauces,,3
66,29,C-29 A,Sector Las Lomas → Urb. Los Sauces de Barraza,,3
67,30,C-13 D,Sector Taquila → Alto Trujillo,,3
68,31,C-40 W,Barrio 1B → Av. San José,,3
69,32,C-30 C,Sector Cushmun → Av. Los Laureles,,3
70,31,C-44 T2,Barrio 1B → Av. San José,,3
71,32,C-31 P,Sector Huangabal → Av. Prolongación Santa,,3
72,31,C-39 S,Ca. Inca Roca → Ca. Jirón Santa Isabel,,3
73,33,C-38 S4,Av. Luis Condemarín → Av. Luis Condemarín,,3
74,32,C-32 S,Mucha → Urb. Palermo,,3
75,34,C-36 Y,Urb. San Andrés 5ta Etapa → A.H. Víctor Raúl Haya de La Torre,,3
76,35,C-15 P1,Sector Tres Cruces → Av. America del Sur,,3
77,34,C-35 S3,Urb. Buganvillas del Golf → A.H. Víctor Raúl Haya de La Torre,,3
