stop_id,stop_name,stop_lat,stop_lon,stop_desc
10281362769,Carretera Panamericana Norte,-7.9920742,-79.075065,3(0-33-34)
13546546295,unnamed,-7.9929843,-79.0747991,3(0-33-34)
13546546294,unnamed,-7.9975336,-79.0733612,3(0-33-34)
13546545550,unnamed,-8.0012454,-79.0722103,5(0-11-33-34-7)
13546546293,unnamed,-8.015995,-79.0673078,10(0-11-26-28-33-34-36-37-59-7)
13546546291,unnamed,-8.0196706,-79.0661602,10(0-11-26-28-33-34-36-37-59-7)
11911534030,Calle Alfonso Ugarte,-8.0235139,-79.0648297,10(0-11-26-28-33-34-36-37-59-7)
13546546290,unnamed,-8.0273704,-79.0636536,10(0-11-26-28-33-34-36-37-59-7)
13546546289,unnamed,-8.0306138,-79.0626536,10(0-11-26-28-33-34-36-37-59-7)
13546545547,unnamed,-8.0342637,-79.0613915,10(0-11-26-28-33-34-36-37-59-7)
13546546288,unnamed,-8.042531,-79.0587534,10(0-11-26-28-33-34-36-37-59-7)
13546545612,unnamed,-8.0466333,-79.0574802,10(0-11-26-28-33-34-36-37-59-7)
13546546334,unnamed,-8.0494699,-79.0567702,10(0-11-26-28-33-34-36-37-59-7)
13546546333,unnamed,-8.0529364,-79.0560623,11(0-1-11-26-28-33-34-36-37-59-7)
13546546336,unnamed,-8.0566946,-79.0542699,16(0-1-11-14-26-27-28-32-33-34-36-37-59-7-78-81)
13546546338,unnamed,-8.0596597,-79.0533255,15(0-1-11-14-26-27-28-32-34-36-37-59-7-78-81)
13546545638,unnamed,-8.0637257,-79.0520044,15(0-1-11-26-27-28-32-34-36-37-59-7-78-81-9)
13546546319,unnamed,-8.0677612,-79.0507251,15(0-1-11-26-27-28-32-34-36-37-59-7-78-81-9)
13546545633,unnamed,-8.0724897,-79.0492565,15(0-1-11-26-27-28-32-34-36-37-59-7-78-81-9)
13546546318,unnamed,-8.074271,-79.0480679,6(0-1-11-7-78-9)
13546545637,unnamed,-8.0763807,-79.0468353,6(0-1-11-7-78-9)
13546545636,unnamed,-8.0792547,-79.0451941,6(0-1-11-7-78-9)
13546545669,unnamed,-8.083007,-79.0430778,7(0-1-11-17-7-78-9)
13546535044,unnamed,-8.0875554,-79.0402613,10(0-1-11-17-33-57-58-7-78-9)
13546545867,unnamed,-8.0913512,-79.0362607,10(0-1-11-17-33-57-58-7-78-9)
13546535047,unnamed,-8.093915,-79.0336175,13(0-1-17-33-43-5-57-59-7-78-8-84-9)
13546535052,unnamed,-8.095454,-79.0285712,2(0-5)
