trip_id,route_id,service_id,shape_id,trip_headsign,direction_id
19946662,0,Mo-Su,19946662,Avenida Manuel Seoane,0
19946938,0,Mo-Su,19946938,Via Panamericana Norte,1
19950139,1,Mo-Su,19950139,Avenida Manuel Seoane,0
19950214,1,Mo-Su,19950214,Calle Turquesas,1
19953369,2,Mo-Su,19953369,Ciudad de Dios,0
19953601,3,Mo-Su,19953601,Cerro La Virgen,0
19959151,4,Mo-Su,19959151,Avenida la Paz,0
19959184,5,Mo-Su,19959184,Avenida Víctor Raúl Haya de la Torre,0
19959196,5,Mo-Su,19959196,Avenida La Paz,1
19959202,6,Mo-Su,19959202,Avenida San Pedro,0
19959207,6,Mo-Su,19959207,Avenida Libertad,1
19959214,7,Mo-Su,19959214,Via Panamericana Norte,0
19959217,7,Mo-Su,19959217,Avenida Libertad,1
19959224,8,Mo-Su,19959224,Avenida San Pedro,0
19961769,8,Mo-Su,19961769,Avenida Libertad,1
19961792,9,Mo-Su,19961792,Avenida Los Tulipanes,0
19961795,9,Mo-Su,19961795,Avenida Libertad,1
19961919,10,Mo-Su,19961919,Via Panamericana Norte,0
19961936,10,Mo-Su,19961936,Avenida Libertad,1
19961948,11,Mo-Su,19961948,Avenida Libertad,0
19961958,11,Mo-Su,19961958,Calle Virgen de la Puerta,1
19961962,12,Mo-Su,19961962,Óvalo Larco,0
19962130,13,Mo-Su,19962130,Calle 8,0
19962183,13,Mo-Su,19962183,Avenida Vallejo,1
19962194,14,Mo-Su,19962194,Calle 8,0
19962204,15,Mo-Su,19962204,Calle 8,0
19962213,16,Mo-Su,19962213,Avenida 12 de Noviembre,0
19962222,16,Mo-Su,19962222,Sector Nuevo Horizonte,1
19962230,17,Mo-Su,19962230,Sector Nuevo Horizonte,0
19962257,17,Mo-Su,19962257,Avenida 12 de Noviembre,1
19962263,18,Mo-Su,19962263,Avenida Juan Pablo II,0
19962271,18,Mo-Su,19962271,Prolongación Avenida 12 de Noviembre,1
19962272,14,Mo-Su,19962272,Manzana Ñ,1
19962287,19,Mo-Su,19962287,Calle Pedro Ruiz Gallo,0
19962292,19,Mo-Su,19962292,Calle Atahualpa,1
19962294,19,Mo-Su,19962294,Calle 7 de Julio,0
19962298,19,Mo-Su,19962298,Calle Pedro Ruiz Gallo,1
19962300,20,Mo-Su,19962300,Via Evitamiento Milagro,0
19962303,20,Mo-Su,19962303,Calle Pedro Ruiz Gallo,1
19962313,19,Mo-Su,19962313,Via Evitamiento Milagro,0
19962315,19,Mo-Su,19962315,Calle Pedro Ruiz Gallo,1
19962362,21,Mo-Su,19962362,Calle F,0
19962394,21,Mo-Su,19962394,Calle Liverpool,1
19962432,22,Mo-Su,19962432,Calle Alfonso Ugarte,0
19962502,23,Mo-Su,19962502,Calle Liverpool,0
19965057,24,Mo-Su,19965057,Calle Nuevo Indoamérica,0
19965743,25,Mo-Su,19965743,Calle Los Pensamientos,0
19965745,25,Mo-Su,19965745,Calle Santa Ana,1
19965750,25,Mo-Su,19965750,Calle Los Pensamientos,0
19965773,25,Mo-Su,19965773,Calle Santa Ana,1
19965775,26,Mo-Su,19965775,Avenida Del Contador,0
19965776,26,Mo-Su,19965776,Vía Panamericana,1
19965801,26,Mo-Su,19965801,Jirón Francisco de Zela,0
19965802,26,Mo-Su,19965802,Avenida Del Contador,1
19965837,26,Mo-Su,19965837,Vía Panamericana,0
19965840,26,Mo-Su,19965840,Avenida Del Contador,1
19965847,26,Mo-Su,19965847,Avenida Del Contador,0
19965854,26,Mo-Su,19965854,Vía Panamericana,1
19965855,27,Mo-Su,19965855,Calle José la Rivera,0
19966163,28,Mo-Su,19966163,Avenida Federico Villarreal,0
19966201,29,Mo-Su,19966201,Calle Santa Rosa,0
19966210,28,Mo-Su,19966210,Avenida Alan García,1
19966215,29,Mo-Su,19966215,Calle de los Jasmines,1
19966218,30,Mo-Su,19966218,Avenida Federico Villarreal,0
19966224,30,Mo-Su,19966224,Calle de los Jasmines,1
19966226,31,Mo-Su,19966226,Avenida Federico Villarreal,0
19966253,31,Mo-Su,19966253,Calle Jirón Cuba,1
19966264,32,Mo-Su,19966264,Calle Señor de Los Milagros,0
19966270,32,Mo-Su,19966270,El Reposo,1
19966288,33,Mo-Su,19966288,Calle 9 de Octubre,0
19966297,33,Mo-Su,19966297,El Reposo,1
19967351,34,Mo-Su,19967351,Calle San Martín,0
19967429,35,Mo-Su,19967429,Avenida Dinamarca,0
19967529,36,Mo-Su,19967529,Calle San Gabriel,0
19967536,36,Mo-Su,19967536,Distrito Huanchaco,1
19967551,37,Mo-Su,19967551,Avenida Los Incas,0
19967562,37,Mo-Su,19967562,Campiña de Moche,1
19967583,38,Mo-Su,19967583,Alto Porvenir,0
19967604,38,Mo-Su,19967604,Calle Jirón Santa Isabel,1
19967639,38,Mo-Su,19967639,Alto Porvenir,0
19967670,38,Mo-Su,19967670,Calle Jirón Santa Isabel,1
19967674,38,Mo-Su,19967674,Alto Porvenir,0
19967678,38,Mo-Su,19967678,Panamericana Norte,1
19967679,38,Mo-Su,19967679,Panamericana Norte,0
19968040,39,Mo-Su,19968040,Calle Inca Roca,0
19968053,39,Mo-Su,19968053,Calle Jirón Santa Isabel,1
19968101,40,Mo-Su,19968101,Carlos García Ronceros,0
19968109,40,Mo-Su,19968109,Sector Taquila,1
19968121,41,Mo-Su,19968121,Calle Miguiel Graú,0
19968127,41,Mo-Su,19968127,Avenida 12 de Noviembre,1
19968129,42,Mo-Su,19968129,Calle Miguiel Graú,0
19968140,42,Mo-Su,19968140,Avenida 12 de Noviembre,1
19968169,43,Mo-Su,19968169,Campiña de Moche,0
19968174,44,Mo-Su,19968174,Avenida Miguel Grau,0
19968178,44,Mo-Su,19968178,Calle Dieciseis,1
19968183,45,Mo-Su,19968183,Avenida Antenor Orrego,0
19968195,45,Mo-Su,19968195,Ciudad de Dios,1
19968210,46,Mo-Su,19968210,Avenida Juan Pablo II,0
19968338,46,Mo-Su,19968338,Ciudad de Dios,1
19968352,47,Mo-Su,19968352,Avenida Cesar Vallejo,0
19968383,48,Mo-Su,19968383,Barrio 5C,0
19968388,48,Mo-Su,19968388,Avenida Víctor Raúl Haya de la Torre,1
19970882,49,Mo-Su,19970882,Calle José Joaquín Inclán,0
19970891,49,Mo-Su,19970891,Calle Venezuela,1
19970967,50,Mo-Su,19970967,Avenida Larco,0
19971395,22,Mo-Su,19971395,Futuro Barrio 5C,1
19971408,51,Mo-Su,19971408,Avenida Libertad,0
19971409,51,Mo-Su,19971409,Avenida Libertad,1
19971413,52,Mo-Su,19971413,Avenida los Pajuiles,0
19971417,52,Mo-Su,19971417,Primavera III,1
19971427,53,Mo-Su,19971427,Alto Trujillo,0
19971440,53,Mo-Su,19971440,Valle Sol,1
19971942,54,Mo-Su,19971942,Ciudad de Dios,0
19971967,12,Mo-Su,19971967,Ciudad de Dios,1
19971999,55,Mo-Su,19971999,Sector Santa María Alta,0
19972008,23,Mo-Su,19972008,Primavera,1
19972010,56,Mo-Su,19972010,Calle César Vallejo,0
19972018,56,Mo-Su,19972018,Calle 11,1
19972027,24,Mo-Su,19972027,Avenida América Sur,1
19972041,57,Mo-Su,19972041,Buenos Aires Sur,0
19972045,57,Mo-Su,19972045,Sector Nuevo Indoamérica,1
19972046,58,Mo-Su,19972046,Avenida América Sur,0
19972051,58,Mo-Su,19972051,Calle Santa Ana,1
19972060,27,Mo-Su,19972060,Calle Diego Quispe Tito,1
19972065,34,Mo-Su,19972065,Calle Jirón los Algarobos,1
19972072,35,Mo-Su,19972072,Distrito Huanchaco,1
19972081,59,Mo-Su,19972081,Calle Manuel Romero,0
19972086,59,Mo-Su,19972086,Avenida Julian Arce,1
19972095,60,Mo-Su,19972095,Óvalo Grau,0
19972103,43,Mo-Su,19972103,Calle José Galvez,1
19972121,61,Mo-Su,19972121,Alto Trujillo,0
19972123,60,Mo-Su,19972123,Avenida Julian Arce,1
19972128,61,Mo-Su,19972128,Valle Sol,1
19972130,62,Mo-Su,19972130,Avenida José María Eguren,0
19972154,62,Mo-Su,19972154,Avenida Circunvalación,1
19972155,63,Mo-Su,19972155,Alto Trujillo,0
19972157,63,Mo-Su,19972157,Valle So,1
19972158,50,Mo-Su,19972158,Calle 01,1
19972163,64,Mo-Su,19972163,Óvalo Los Sauces,0
19972175,65,Mo-Su,19972175,Los Sauces de Barraza,0
19972176,64,Mo-Su,19972176,Sector Cerrito La Virgen,1
19972187,65,Mo-Su,19972187,Sector Las Lomas,1
19972190,64,Mo-Su,19972190,Óvalo Los Sauces,0
19972191,66,Mo-Su,19972191,Alto Trujillo,0
19972195,66,Mo-Su,19972195,Sector Taquila,1
19972196,64,Mo-Su,19972196,Sector Cerrito La Virgen,1
19972422,65,Mo-Su,19972422,Los Sauces de Barraza,0
19972433,65,Mo-Su,19972433,Sector Las Lomas,1
19972458,67,Mo-Su,19972458,Avenida San José,0
19972461,68,Mo-Su,19972461,Avenida Los Laureles,0
19972466,67,Mo-Su,19972466,Barrio 1B,1
19972467,69,Mo-Su,19972467,Avenida San José,0
19972470,68,Mo-Su,19972470,Sector Cushmun,1
19972472,69,Mo-Su,19972472,Barrio 1B,1
19972473,70,Mo-Su,19972473,Avenida Prolongación Santa,0
19972474,71,Mo-Su,19972474,Calle Jirón Santa Isabel,0
19972475,71,Mo-Su,19972475,Calle Ascencio Vergara,1
19972478,72,Mo-Su,19972478,Avenida Luis Condemarín,0
19972479,70,Mo-Su,19972479,Sector Huangabal,1
19972496,73,Mo-Su,19972496,Palermo,0
19972502,73,Mo-Su,19972502,Mucha,1
19972504,74,Mo-Su,19972504,Víctor Raúl Haya de La Torre,0
19972505,74,Mo-Su,19972505,San Andrés 5ta Etapa,1
19972508,75,Mo-Su,19972508,Avenida America del Sur,0
19972509,76,Mo-Su,19972509,Víctor Raúl Haya de La Torre,0
19972510,76,Mo-Su,19972510,Buganvillas del Golf,1
19972512,77,Mo-Su,19972512,Virgen del Socorro,0
19972515,78,Mo-Su,19972515,Avenida America del Sur,0
19972516,78,Mo-Su,19972516,Sector Platanar,1
19972901,79,Mo-Su,19972901,Avenida América Oeste,0
19972938,54,Mo-Su,19972938,Ciudad de Dios,1
19973156,80,Mo-Su,19973156,Calle 8,0
19973224,81,Mo-Su,19973224,Avenida Libertad,0
19973251,81,Mo-Su,19973251,Avenida Libertad,1
19973922,81,Mo-Su,19973922,Avenida Cesar Vallejo,0
19973932,81,Mo-Su,19973932,Jirón Venezuela,1
19973941,77,Mo-Su,19973941,Virgen del Socorro,1
19973946,75,Mo-Su,19973946,Sector Tres Cruces,1
19973949,75,Mo-Su,19973949,Avenida America del Sur,0
19973958,75,Mo-Su,19973958,Sector Huayabito,1
19975974,4,Mo-Su,19975974,Avenida la Paz,1
19976301,55,Mo-Su,19976301,Ciudad de Dios,1
19976312,3,Mo-Su,19976312,Cerro La Virgen,1
19976337,82,Mo-Su,19976337,Avenida América Oeste,0
19977991,69,Mo-Su,19977991,Avenida San José,0
19988569,47,Mo-Su,19988569,Cruce Vial S/N,1
19988589,72,Mo-Su,19988589,Avenida Luis Condemarín,1
19988601,83,Mo-Su,19988601,Avenida América Sur,0
19988606,83,Mo-Su,19988606,Sector Tres Cruces,1
19988678,83,Mo-Su,19988678,Avenida America del Sur,0
19988688,83,Mo-Su,19988688,Sector Huayabito,1
19988714,84,Mo-Su,19988714,Avenida America del Sur,0
19988728,84,Mo-Su,19988728,Sector Platanar,1
19988797,64,Mo-Su,19988797,Óvalo Los Sauces,0
19988815,64,Mo-Su,19988815,Sector Cerrito La Virgen,1
19990111,38,Mo-Su,19990111,Alto Porvenir,1
19990115,38,Mo-Su,19990115,Panamericana Norte,0
19990157,85,Mo-Su,19990157,Avenida 12 de Noviembre,0
19990165,85,Mo-Su,19990165,Avenida 12 de Noviembre,1
19990939,73,Mo-Su,19990939,Sector Collambay,0
19991778,73,Mo-Su,19991778,Palermo,1
20345821,79,Mo-Su,20345821,Alto Trujillo,1
20345926,82,Mo-Su,20345926,Alto Trujillo,1
20345938,80,Mo-Su,20345938,Alto Trujillo,1
20345946,15,Mo-Su,20345946,Alto Trujillo,1
20603178,86,Mo-Su,20603178,La Esperanza,0
20603185,87,Mo-Su,20603185,Buenos Aires,0
20603358,88,Mo-Su,20603358,Huanchaco Centro,0
