fare_id,route_id
0,17966453
1,17966890
2,17966892
3,17966893
4,17966901
5,17966903
6,17966909
7,17966914
8,17966915
9,17966916
10,17966922
11,17966925
12,17966927
13,17966936
14,17966940
15,17966959
16,17966961
17,17966964
18,17966970
19,17966978
20,17967149
21,17967223
22,17967228
23,17967239
24,17967257
25,17967267
26,17969223
27,17969239
28,17969241
29,17969243
30,17969251
31,17969269
32,17969277
33,17969278
34,17969284
35,17969285
36,17969291
37,17969292
38,17969294
39,17969301
40,17969303
41,17969309
42,17969313
43,17969315
44,17969316
45,17969328
46,17969337
47,17969340
48,17969412
49,17969420
50,17969430
51,17969431
52,17969434
53,17969435
54,17969445
55,17969491
56,17969493
57,17969495
58,17969499
59,17969500
60,17969502
61,17969503
62,17969507
63,17969509
64,17969510
65,17969533
66,17969605
67,17969618
68,17969631
69,17969636
70,17969638
71,17969640
72,17969816
73,17969829
74,17969830
75,17969835
76,17969861
77,17969887
78,17969888
79,17969924
80,17969956
81,17989359
82,17989486
83,17989539
84,18660225
85,18898951
86,18898984
87,18910380
88,18910381
89,18910389
90,18910390
91,18910391
92,18910401
93,18910406
94,18910409
95,18910412
96,18910414
97,18910416
98,18910427
99,18910428
100,18910435
101,18910455
102,18910461
103,18910469
104,18910487
105,18910500
106,18910506
107,18910508
108,18910509
109,19133123
