agency_id,agency_name,agency_timezone,agency_url
0,La Paz Bus,America/La_Paz,https://nexion.com.bo
1,SETRAM,America/La_Paz,https://nexion.com.bo
2,Sistema Municipal de Transporte (SETRAM). GAMLP,America/La_Paz,https://nexion.com.bo
3,GAMLP,America/La_Paz,https://nexion.com.bo
4,GMLP,America/La_Paz,https://nexion.com.bo
5,Asociacion Señor de Mayo,America/La_Paz,https://nexion.com.bo
6,default,America/La_Paz,https://nexion.com.bo
7,Sindicato Litoral,America/La_Paz,https://nexion.com.bo
8,Sindicato Simón Bolívar,America/La_Paz,https://nexion.com.bo
9,SINDICATO RO ABAJO - PALCA,America/La_Paz,https://nexion.com.bo
10,SINDICATO SEOR DE LAGUNAS,America/La_Paz,https://nexion.com.bo
11,Sindicato de transporte mixto "Simón Bolivar",America/La_Paz,https://nexion.com.bo
12,Sindicato de Transporte Eduardo Avaroa,America/La_Paz,https://nexion.com.bo
13,Sindicato Villa Victoria,America/La_Paz,https://nexion.com.bo
14,LaPazBus-Sistema Municipal de Transporte (SETRAM)-GAMLP,America/La_Paz,https://nexion.com.bo
15,Sindicato Pedro Domingo Murillo,America/La_Paz,https://nexion.com.bo
