fare_id,route_id
0,7804653
1,7809311
2,7809722
3,7809725
4,8422678
5,8517482
6,8538454
7,8543666
8,9317022
9,9353130
10,9377736
11,9377737
12,9379031
13,9381264
14,9382420
15,9416597
16,9423331
17,9423392
18,9425611
19,9429001
20,9437459
21,9467267
22,9475383
23,10253969
24,10254160
25,10254174
26,10254221
27,10254391
28,10254480
29,10254605
30,10254606
31,10254716
32,10255024
33,10255025
34,10255026
35,10255027
36,10255126
37,10255142
38,10256569
39,10256570
40,10256571
41,10256805
42,10257511
43,10257512
44,10257680
45,10258507
46,10258702
47,10258703
48,10258873
49,10259073
50,10259074
51,10261193
52,10261371
53,10263255
54,10263539
55,10263540
56,10263580
57,15958868
58,16805300
59,17383390
60,17675641
61,17767401
62,18750470
63,19198167
64,19422164
