route_id,agency_id,route_short_name,route_long_name,route_color,route_type
7804653,0,PK4,Pumakatari Caja Ferroviaria: Plaza Alonso de Mendoza → Caja Ferroviaria,000080,3
7809311,0,PK4,Bus Caja Ferroviaria: Caja Ferroviaria→ Plaza Alonso de Mendoza,blue,3
7809722,0,PK1,Bus Pumakatari: Inka Llojeta,e38dd4,3
7809725,0,PK1,Pumakatari Inka Llojeta,843e78,3
8422678,1,PK2V,Bus PumaKatari: Villa Salomé → Parque Urbano Central,,3
8517482,2,PK2-IDA,PumaKatari-Ruta Villa Salomé Ida-Calle Cosmos 85 → Plaza Camacho,,3
8538454,3,PK2IR,Puma Katari PUC - Irpavi II,,3
8543666,4,PKINT1,PumaKatari Ruta Integradora,,3
9317022,3,PKINT2,Pumakatari Ruta Integradora tramo 2,,3
9353130,5,245,MiniBus 245,,3
9377736,6,1,Minibus 1,,3
9377737,6,5,Bus 5,,3
9379031,6,PKF2,Pumakatari Caja Ferroviaria: Caja Ferroviaria → Plaza Alonso de Mendoza,,3
9381264,5,259,Minibus 259,,3
9382420,6,14,MiniBus 14,,3
9416597,6,43,MiniBus 43,,3
9423331,6,226,MiniBus 226,,3
9423392,6,822,Minibus 822,,3
9425611,7,848,MiniBus 848,,3
9429001,5,245,MiniBus 245,,3
9437459,8,387,MiniBus 387: Zona Villa Litoral → Zona Cementerio,,3
9467267,5,Final calle 9 de bajo san antonio sector llanos altura cancha,MiniBus 383,,3
9475383,5,854,MiniBus 854: Calle 9 → Calle Fortunato Pinto,,3
10253969,9,379,MiniBus 379,,3
10254160,6,254,MiniBus 254,,3
10254174,6,221,MiniBus 221,,3
10254221,10,926,MiniBus 926,,3
10254391,6,361,MiniBus 361,,3
10254480,6,884,MiniBus 884,,3
10254605,6,855,MiniBus 855,,3
10254606,11,852,MiniBus 852: Rio Abuná → Urb. Cosmos,,3
10254716,6,838,MiniBus 838,,3
10255024,6,217,MiniBus 217,,3
10255025,6,276,MiniBus 276,,3
10255026,6,805,MiniBus 805,,3
10255027,6,230,MiniBus 230,,3
10255126,6,923,MiniBus 923,,3
10255142,6,871,MiniBus 871,,3
10256569,6,353,MiniBus 353,,3
10256570,6,264,MiniBus 264,,3
10256571,6,224,MiniBus 224,,3
10256805,6,272,MiniBus 272,,3
10257511,6,307,MiniBus 307,,3
10257512,6,227,MiniBus 227,,3
10257680,6,285,MiniBus 285,,3
10258507,6,876,MiniBus 876,,3
10258702,6,202,MiniBus 202,,3
10258703,6,878,MiniBus 878,,3
10258873,6,222,MiniBus 222,,3
10259073,6,922,MiniBus 922,,3
10259074,6,889,MiniBus 889,,3
10261193,6,857,MiniBus 857,,3
10261371,6,906,MiniBus 906,,3
10263255,6,249,MiniBus 249,,3
10263539,6,853,MiniBus 853,,3
10263540,6,918,MiniBus 918,,3
10263580,6,801,MiniBus 801,,3
15958868,12,Trufi a San Pedro,Trufi 408: Ciudad Satélite - San Pedro,,3
16805300,2,PK2-VUELTA,PumaKatari-Ruta Villa Salomé Vuelta-Plaza Camacho → Calle Cosmos 85,,3
17383390,11,893,MiniBus 893: Reyesano → Rio Abuná,,3
17675641,12,453,Trufi 453: Cruce Viacha → San Pedro,,3
17767401,12,453,Trufi 453: San Pedro → Cruce Viacha,,3
18750470,13,196,Trufi 196: Cruce Villa Adela → San Carlos,,3
19198167,14,PumaKatari-Chasquipampa,PumaKatari-Chasquipampa-Vuelta,,3
19422164,15,208,MiniBus 208: Calle 8 Villa El Carmen → Jurisdicción El Alto,,3
