route_id,agency_id,route_short_name,route_long_name,route_type,route_color
7804653,La Paz Bus,PK4,Pumakatari Caja Ferroviaria: Plaza Alonso de Mendoza → Caja Ferroviaria,3,000080
7809311,La Paz Bus,PK4,Bus Caja Ferroviaria: Caja Ferroviaria→ Plaza Alonso de Mendoza,3,blue
7809722,La Paz Bus,PK1,Bus Pumakatari: Inka Llojeta,3,e38dd4
7809725,La Paz Bus,PK1,Pumakatari Inka Llojeta,3,843e78
8422678,SETRAM,PK2V,Bus PumaKatari: Villa Salomé → Parque Urbano Central,3,
8517482,Sistema Municipal de Transporte (SETRAM). GAMLP,PK2-IDA,PumaKatari-Ruta Villa Salomé Ida-Calle Cosmos 85 → Plaza Camacho,3,
8538454,GAMLP,PK2IR,Puma Katari PUC - Irpavi II,3,
8543666,GMLP,PKINT1,PumaKatari Ruta Integradora,3,
9317022,GAMLP,PKINT2,Pumakatari Ruta Integradora tramo 2,3,
9353130,Asociacion Señor de Mayo,245,MiniBus 245,3,
9377736,Nexion,1,Minibus 1,3,
9377737,Nexion,5,Bus 5,3,
9379031,Nexion,PKF2,Pumakatari Caja Ferroviaria: Caja Ferroviaria → Plaza Alonso de Mendoza,3,
9381264,Asociacion Señor de Mayo,259,Minibus 259,3,
9382420,Nexion,14,MiniBus 14,3,
9416597,Nexion,43,MiniBus 43,3,
9423331,Nexion,226,MiniBus 226,3,
9423392,Nexion,822,Minibus 822,3,
9425611,Sindicato Litoral,848,MiniBus 848,3,
9429001,Asociacion Señor de Mayo,245,MiniBus 245,3,
9437459,Sindicato Simón Bolívar,387,MiniBus 387: Zona Villa Litoral → Zona Cementerio,3,
9467267,Asociacion Señor de Mayo,Final calle 9 de bajo san antonio sector llanos altura cancha,MiniBus 383,3,
9475383,Asociacion Señor de Mayo,854,MiniBus 854: Calle 9 → Calle Fortunato Pinto,3,
10253969,SINDICATO RO ABAJO - PALCA,379,MiniBus 379,3,
10254160,Nexion,254,MiniBus 254,3,
10254174,Nexion,221,MiniBus 221,3,
10254221,SINDICATO SEOR DE LAGUNAS,926,MiniBus 926,3,
10254391,Nexion,361,MiniBus 361,3,
10254480,Nexion,884,MiniBus 884,3,
10254605,Nexion,855,MiniBus 855,3,
10254606,Sindicato de transporte mixto "Simón Bolivar",852,MiniBus 852: Rio Abuná → Urb. Cosmos,3,
10254716,Nexion,838,MiniBus 838,3,
10255024,Nexion,217,MiniBus 217,3,
10255025,Nexion,276,MiniBus 276,3,
10255026,Nexion,805,MiniBus 805,3,
10255027,Nexion,230,MiniBus 230,3,
10255126,Nexion,923,MiniBus 923,3,
10255142,Nexion,871,MiniBus 871,3,
10256569,Nexion,353,MiniBus 353,3,
10256570,Nexion,264,MiniBus 264,3,
10256571,Nexion,224,MiniBus 224,3,
10256805,Nexion,272,MiniBus 272,3,
10257511,Nexion,307,MiniBus 307,3,
10257512,Nexion,227,MiniBus 227,3,
10257680,Nexion,285,MiniBus 285,3,
